 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
CB,Antonio,Burch,6 - 2,188,Jr,4.0,5.0,Michigan,2,7,1,0.0,0,0,0,0,"0
"
CB,Michael,Barber,6 - 0,183,So,3.0,5.0,Florida State,1,1,1,0.0,0,0,0,0,"0
"
DE,Stephen,Jones,6 - 8,271,Jr,3.5,4.0,Pittsburgh,4,9,0,4.0,0,0,0,0,"0
"
CB,Lee,Davis,6 - 2,174,(Fr),3.0,4.0,Oklahoma,2,5,2,0.0,0,0,0,1,"0
"
FS,Terry,Ross,6 - 2,168,Jr,3.0,4.5,Michigan,2,10,0,0.0,0,0,0,0,"0
"
DE,Derrick,Thomas,6 - 7,272,Jr,3.5,4.5,Texas A&M,1,6,0,0.0,0,0,0,0,"0
"
CB,Moe,McMillan,5 - 10,183,Jr,3.5,5.0,Virginia Tech,1,2,1,0.0,0,0,0,0,"0
"
SS,Scott,Hall,5 - 10,209,(Sr),4.0,4.0,Kentucky,2,9,1,0.0,0,0,0,0,"0
"
ILB,George,Grimes,5 - 9,231,Sr,3.0,3.0,Cincinnati,5,38,0,0.0,0,0,0,0,"0
"
DE,Sidney,Burris,6 - 3,274,Sr,3.5,3.5,Oregon State,1,2,0,1.0,0,0,0,0,"0
"
DT,Steve,Phillips,6 - 2,285,(So),3.5,4.0,Iowa,2,10,0,2.0,0,1,0,0,"0
"
DE,Jesus,Brooks,6 - 8,259,(So),3.5,4.0,Maryland,3,6,0,3.0,0,0,0,0,"0
"
ILB,Daleroy,Smart,5 - 11,224,So,3.0,5.0,Washington State,9,60,0,0.0,0,0,0,0,"0
"
OLB,Mark,Slater,6 - 0,235,Sr,2.5,2.5,Pittsburgh,5,40,0,1.0,0,0,0,0,"0
"
SS,Johnathan,Salazar,5 - 11,179,So,2.5,4.0,Mississippi State,2,7,3,0.0,0,0,0,0,"0
"
CB,Jeno,Burks,5 - 11,189,Jr,2.5,3.5,Georgia,1,5,0,0.0,0,0,0,0,"0
"
ILB,Richard,Smith,6 - 1,223,(Sr),4.0,4.0,Air Force,7,63,0,1.0,0,0,0,0,"0
"
OLB,Jeff,Cox,5 - 11,220,Fr,2.5,4.5,California,9,84,0,0.0,0,0,0,0,"0
"
DT,David,Lee,6 - 3,278,Sr,4.5,4.5,Mississippi State,4,13,0,5.0,0,0,0,0,"0
"
ILB,Omar,Moore,6 - 0,228,(Jr),3.5,4.0,Arkansas,11,83,0,2.0,1,1,0,1,"0
"
DT,Jared,Lee,6 - 5,313,Sr,4.5,4.5,Florida State,3,5,0,6.0,1,1,0,0,"0
"
OLB,Matt,Clanton,6 - 1,231,(Jr),3.0,3.0,Boston College,10,66,0,2.0,0,0,0,0,"0
"
DT,Butch,Insley,6 - 0,254,Sr,3.5,4.0,UCLA,1,4,0,0.0,0,0,0,0,"0
"
FS,Sean,Burton,6 - 0,202,Sr,5.0,5.0,Oklahoma,2,14,0,0.0,0,0,0,0,"0
"
SS,Frank,Fletcher,5 - 10,175,(Sr),2.5,2.5,SDSU,2,8,0,0.0,0,0,0,0,"0
"
OLB,Marc,Sampson,5 - 11,231,Sr,4.0,5.0,Virginia,5,42,0,3.0,0,0,0,0,"0
"
OLB,Robert,Johnson,6 - 2,231,Jr,2.0,2.5,ECU,2,17,0,0.0,0,0,0,0,"0
"
DE,Hayward,Weaver,6 - 6,273,(So),3.5,3.5,Washington,3,12,0,4.0,0,0,0,0,"0
"
DT,Rich,Moore,6 - 7,307,Sr,5.0,5.0,LSU,1,4,0,2.0,0,0,0,0,"0
"
OLB,Tom,Simpson,6 - 0,235,So,2.0,3.0,Kentucky,6,32,0,1.0,0,0,0,0,"0
"
SS,Taz,Haynes,5 - 11,180,(Jr),3.0,3.0,Oregon,1,8,0,0.0,0,0,0,0,"0
"
CB,Ronald,Hunt,5 - 10,170,Sr,3.0,3.0,South Carolina,2,9,0,0.0,0,0,0,0,"0
"
CB,Abdual,Riemersma,6 - 0,188,Sr,3.0,3.0,UCF,7,26,4,0.0,0,0,0,1,"0
"
OLB,Ben,Pattison,6 - 1,217,(Jr),3.0,3.5,Syracuse,2,16,0,0.0,0,0,0,0,"0
"
DE,Leonard,Huffman,6 - 8,279,Fr,2.0,3.5,Houston,3,11,0,4.0,0,0,0,0,"0
"
OLB,Dick,Little,6 - 2,227,(Jr),3.0,3.0,West Virginia,7,66,0,0.0,0,0,0,0,"0
"
DT,Mark,Bassett,6 - 5,299,Sr,4.5,4.5,Minnesota,2,7,0,2.0,0,0,0,0,"0
"
DE,Tim,Jessup,6 - 3,249,So,2.5,2.5,Stanford,1,0,0,1.0,0,0,0,0,"0
"
CB,Justin,Davis,5 - 11,173,Jr,4.5,5.0,Florida,7,38,1,0.0,0,0,0,0,"0
"
CB,Jerry,Middlebrooks,11 - May,180,(So),3.5,3.5,Colorado,3,12,1,0.0,0,0,0,0,"0
"
ILB,Kay,Anderson,6 - 1,231,Sr,4.5,4.5,Georgia Tech,7,56,0,0.0,0,0,0,0,"0
"
SS,Terrell,Barry,6 - 0,179,Jr,2.0,3.0,California,2,9,0,0.0,0,0,0,0,"0
"
DE,Denver,Price,6 - 1,251,(Jr),3.0,3.0,Army,2,4,0,1.0,0,0,0,0,"0
"
SS,Mark,Brown,6 - 2,180,(Sr),4.5,4.5,Florida,1,4,0,0.0,0,0,0,0,"0
"
SS,Adam,Blackmon,5 - 10,171,(Jr),3.5,3.5,Boston College,1,3,1,0.0,0,0,0,0,"0
"
CB,Sammy,Muhammad,5 - 10,178,(Jr),5.0,5.0,Missouri,9,54,4,0.0,0,0,0,1,"0
"
SS,Kliff,Papac,6 - 0,161,Jr,3.5,4.5,Syracuse,3,10,2,0.0,0,0,0,0,"0
"
CB,Casey,Holt,5 - 9,180,Sr,3.5,3.5,Louisville,8,37,4,0.0,0,0,0,0,"0
"
FS,Edward,Harrison,5 - 10,168,Jr,4.5,4.5,Northwestern,2,4,2,0.0,0,0,0,1,"0
"
FS,Benjamin,Vance,5 - 11,174,(Sr),3.5,3.5,Purdue,4,15,3,0.0,0,0,0,0,"0
"
ILB,Ron,Sanderson,6 - 1,221,Jr,4.0,4.5,Penn State,1,6,0,0.0,0,0,0,0,"0
"
SS,Joel,Murphy,5 - 11,201,(Jr),4.0,4.5,Arizona,1,2,1,0.0,0,0,0,0,"0
"
FS,Richard,Wells,6 - 0,161,So,1.5,2.0,ECU,2,14,0,0.0,0,0,0,0,"0
"
OLB,Christopher,Rogers,6 - 1,224,Sr,2.5,2.5,Colorado State,10,67,0,2.0,0,1,0,0,"0
"
