 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
K,Fred,Irvin,5 - 9,186,(Jr),3.0,3.0,USC,12,1,0,1,7,3,"0
"
K,Paul,Compton,5 - 9,178,Jr,3.5,4.0,Boise State,5,0,0,0,2,3,"0
"
K,Cliff,Chamblin,6 - 4,191,(Sr),5.0,5.0,LSU,4,0,0,0,1,2,"1
"
K,Terrell,Hooks,5 - 10,178,Sr,3.5,3.5,Rice,14,0,0,0,9,5,"0
"
K,James,Osborne,6 - 2,193,Jr,1.5,2.0,Army,9,1,0,0,6,2,"0
"
K,Jermaine,Gooch,6 - 3,173,Jr,3.5,4.0,Wake Forest,9,0,0,0,4,5,"0
"
K,Greg,Duper,6 - 0,171,Jr,4.5,4.5,Clemson,9,0,0,1,1,6,"1
"
K,Ernie,Ward,5 - 10,167,So,1.5,2.0,California,4,1,0,0,3,0,"0
"
K,Jarret,Veals,5 - 10,178,Sr,5.0,5.0,Miami,12,2,0,0,3,5,"2
"
K,Mark,Steinbach,5 - 10,178,So,3.0,3.5,Washington State,3,0,0,0,2,1,"0
"
K,Matt,Fisk,5 - 11,171,Fr,2.0,4.0,Penn State,11,2,0,0,6,3,"0
"
K,Bryan,Ray,5 - 9,178,So,4.0,4.5,Colorado State,8,2,0,0,4,2,"0
"
K,Clifford,Franklin,5 - 11,188,Jr,4.0,4.0,Rutgers,12,1,0,0,4,7,"0
"
K,Russ,Starring,5 - 10,188,(So),2.0,2.5,Vanderbilt,10,2,0,1,5,2,"0
"
K,Dennis,Rogers,5 - 9,193,Sr,3.5,3.5,Texas A&M,5,0,0,0,3,2,"0
"
K,Kevin,Steele,5 - 9,171,Sr,2.0,2.0,South Carolina,2,0,0,0,1,1,"0
"
K,Larry,DeLamielleure,5 - 11,173,So,3.5,4.0,Arizona State,8,1,0,0,3,4,"0
"
K,Nathan,Vazquez,5 - 9,168,Jr,4.5,4.5,Maryland,5,0,0,0,1,3,"1
"
K,Carlos,Cruz,6 - 2,197,Fr,2.5,4.5,Air Force,3,1,0,0,2,0,"0
"
K,Ahmad,Pederson,6 - 2,185,(Jr),3.5,3.5,Virginia Tech,12,1,0,0,3,6,"2
"
K,J.W.,Conwell,6 - 2,171,Sr,3.5,3.5,Nebraska,15,2,0,0,6,7,"0
"
K,Paul,Pelarius,5 - 10,185,Fr,2.0,3.0,Stanford,5,1,0,0,3,1,"0
"
