 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Rob,LeCount,6 - 3,212,(Sr),4.5,4.5,Michigan,2,43,57,72.82,479,6,3,153.12,8.40,"239.50
"
QB,Ralph,McCrary,5 - 11,208,Sr,4.0,4.0,Texas Tech,12,136,229,59.59,1518,5,5,116.42,6.63,"126.50
"
QB,Thomas,Wheeler,6 - 0,208,Sr,5.0,5.0,Florida State,12,235,320,73.30,3137,32,5,184.54,9.80,"261.42
"
QB,Donald,Caldwell,6 - 3,233,(So),3.5,5.0,NC State,12,226,354,63.28,2405,13,5,128.95,6.79,"200.42
"
QB,William,Turner,6 - 4,181,Sr,3.5,3.5,Colorado State,12,186,353,52.73,1835,9,4,103.13,5.20,"152.92
"
QB,Ronald,Partridge,6 - 1,193,So,3.0,3.5,Mississippi State,3,47,79,58.46,591,2,1,127.60,7.48,"197.00
"
QB,Darren,Roundtree,6 - 4,198,(Jr),2.5,3.0,Georgia Tech,2,18,39,44.26,125,0,3,49.51,3.21,"62.50
"
QB,Luther,Yewcic,6 - 4,182,(Jr),2.5,3.0,Washington State,12,203,452,44.52,2193,5,17,80.83,4.85,"182.75
"
QB,Art,Duhon,6 - 2,207,(Fr),2.5,4.0,Arizona State,12,131,231,56.11,1424,6,1,116.08,6.16,"118.67
"
QB,Christopher,Brooks,5 - 11,207,Sr,4.5,5.0,Kansas,12,196,290,67.55,2402,15,3,151.94,8.28,"200.17
"
QB,Mark,White,6 - 3,199,(So),3.0,4.5,Duke,12,260,441,58.82,2684,15,4,119.83,6.09,"223.67
"
WR,Alvin,Robinson,6 - 3,171,(Jr),3.0,3.0,Hawaii,2,1,2,66.67,34,0,0,257.07,17.00,"17.00
"
QB,Tywoin,Stoudt,6 - 5,216,Sr,1.5,2.0,UCF,8,82,143,57.62,918,4,1,119.74,6.42,"114.75
"
QB,Alex,Bridgewater,6 - 0,182,Sr,5.0,5.0,Louisville,12,190,296,64.40,2166,7,2,133.05,7.32,"180.50
"
QB,Anthony,Newson,6 - 1,226,(So),2.5,4.5,Washington,1,5,16,31.25,49,2,2,73.22,3.06,"49.00
"
QB,Tommy,Jones,6 - 3,198,(Fr),3.0,5.0,Michigan,9,158,283,56.24,1720,14,6,120.21,6.08,"191.11
"
QB,Johnny,Green,6 - 0,192,Sr,3.5,3.5,TCU,12,141,229,60.91,1549,6,5,121.46,6.76,"129.08
"
QB,Stephen,Allen,6 - 4,213,Sr,3.0,3.0,Illinois,11,113,226,49.31,1213,0,4,90.09,5.37,"110.27
"
QB,John,Velazquez,6 - 2,203,(Jr),3.0,3.0,Mississippi State,4,79,149,54.37,720,3,4,96.46,4.83,"180.00
"
QB,Robert,Aikman,5 - 11,177,Sr,5.0,5.0,Tennessee,12,245,378,64.27,2673,17,8,133.46,7.07,"222.75
"
QB,Sam,Light,5 - 11,194,(So),3.5,4.5,Texas,1,28,44,63.64,317,3,3,133.02,7.20,"317.00
"
QB,Gerald,Bright,6 - 3,220,Sr,4.5,4.5,Missouri,12,252,394,63.52,2872,18,2,136.83,7.29,"239.33
"
QB,Ryan,Clark,6 - 1,187,Jr,4.0,5.0,Oregon State,12,216,325,67.21,2660,17,5,151.55,8.18,"221.67
"
