 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Kick-off TDs ," Punt TDs
"
CB,Matt,Daniels,6 - 0,165,Fr,1.0,3.0,SDSU,1,"0
"
WR,Andrew,Diggs,6 - 2,165,(So),1.0,1.0,Illinois,1,"0
"
WR,Jarius,Shaw - Dodd,5 - 11,213,Fr,2.5,5.0,Virginia Tech,0,"1
"
WR,Brett,Tran,5 - 10,173,So,1.5,2.0,Pittsburgh,1,"0
"
CB,DeSean,Bell,6 - 0,189,Fr,1.5,3.0,USC,1,"1
"
WR,Barry,Powers,6 - 0,181,(Sr),1.5,1.5,Duke,0,"1
"
WR,Maurice,Evans,6 - 1,169,So,1.5,1.5,Boise State,1,"0
"
WR,Houston,Light,6 - 4,185,(So),1.0,1.5,North Carolina,0,"1
"
WR,Nicholas,Miller,6 - 5,171,Jr,1.5,2.0,Arizona,0,"1
"
RB,Akili,Wallace,5 - 10,180,(Jr),5.0,5.0,Florida State,1,"0
"
WR,Al,Divito,6 - 0,186,So,4.0,5.0,Georgia,0,"1
"
WR,Terrell,Cody,6 - 5,202,(Sr),1.5,1.5,Florida State,0,"1
"
WR,Josh,Brown,5 - 10,196,Fr,1.0,2.0,Missouri,0,"1
"
WR,Michael,Naylor,6 - 3,172,Sr,1.5,1.5,Kansas State,0,"1
"
WR,Brandon,Burks,6 - 5,178,Sr,4.0,4.0,Nebraska,1,"0
"
RB,Jeff,Demps,5 - 9,178,Sr,2.0,2.5,Wake Forest,0,"1
"
WR,Mosi,Bartos,5 - 8,161,So,5.0,5.0,Boston College,1,"0
"
WR,Willie,Williams,6 - 3,196,(So),2.5,3.0,USC,1,"0
"
CB,Keyshawn,Thompson,6 - 2,181,(Jr),5.0,5.0,Michigan State,0,"2
"
??,Ronald,Reid,? - ??,???,(??),??,??,Texas,0,"1
"
WR,Marrio,Stransky,6 - 1,196,Jr,1.5,3.0,Penn State,1,"0
"
