 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
FB,Art,Shaw,6 - 0,202,(Jr),3.5,4.0,Tennessee,1,3,13,0,0,0,4.33,"13.00
"
RB,Shaun,Evans,5 - 8,191,Sr,5.0,5.0,Texas Tech,12,289,1375,18,0,8,4.76,"114.58
"
RB,John,McMurtry,5 - 11,212,Sr,5.0,5.0,Auburn,12,172,810,2,0,2,4.71,"67.50
"
RB,Michael,Shoemaker,6 - 0,187,So,4.5,5.0,Northwestern,11,131,761,9,1,2,5.81,"69.18
"
RB,Larry,Craven,5 - 11,197,Jr,3.5,4.5,Northwestern,1,8,28,1,0,0,3.50,"28.00
"
RB,Robert,Fontenot,5 - 11,171,Jr,3.5,4.0,Baylor,12,95,448,4,0,0,4.72,"37.33
"
RB,Joseph,Bowen,5 - 9,185,(So),4.0,5.0,Purdue,12,200,1047,11,1,6,5.24,"87.25
"
??,Ronald,Herrmann,? - ??,???,(??),??,??,Texas,10,109,554,4,0,0,5.08,"55.40
"
RB,Wayne,Quinn,5 - 9,213,(Sr),3.5,3.5,Rice,12,141,790,5,1,2,5.60,"65.83
"
RB,Keena,Kane,5 - 9,180,(Sr),4.5,4.5,Nebraska,9,157,919,16,0,6,5.85,"102.11
"
??,Vernon,Haggan,? - ??,???,(??),??,??,Texas,2,23,102,0,0,0,4.43,"51.00
"
RB,John,Harris,5 - 11,181,(So),4.5,5.0,Arizona State,12,234,1302,19,0,8,5.56,"108.50
"
RB,Brian,Kanell,5 - 8,198,Sr,4.0,4.0,Georgia Tech,12,211,1324,14,0,5,6.27,"110.33
"
RB,Charley,Hill,5 - 8,190,Sr,3.5,3.5,Vanderbilt,12,173,881,5,0,1,5.09,"73.42
"
RB,Charles,Quinn,5 - 9,218,(Jr),2.5,2.5,Indiana,12,118,499,1,0,0,4.23,"41.58
"
RB,Sterling,Brown,6 - 0,174,Jr,4.5,5.0,Texas,12,197,1078,24,0,6,5.47,"89.83
"
QB,Christopher,Brooks,5 - 11,207,Sr,4.5,5.0,Kansas,10,90,607,8,0,0,6.74,"60.70
"
RB,Dale,Clemens,6 - 0,189,(Sr),3.0,3.0,Pittsburgh,12,124,548,4,0,0,4.42,"45.67
"
FB,Jose,Rosenthal,5 - 11,208,Fr,2.0,5.0,North Carolina,1,2,1,1,0,0,0.50,"1.00
"
??,Byron,Harper,? - ??,???,(??),??,??,Texas,1,5,24,0,0,0,4.80,"24.00
"
RB,Ethan,Blake,6 - 0,193,(Fr),2.5,3.5,Texas A&M,12,179,831,7,0,1,4.64,"69.25
"
QB,Tywoin,Stoudt,6 - 5,216,Sr,1.5,2.0,UCF,4,27,136,1,0,0,5.04,"34.00
"
QB,Alex,Bridgewater,6 - 0,182,Sr,5.0,5.0,Louisville,10,76,466,4,0,1,6.13,"46.60
"
RB,Adrian,Robinson,5 - 11,203,Fr,1.5,4.5,Houston,12,186,899,13,0,4,4.83,"74.92
"
FB,Dee,Jones,5 - 11,217,So,2.5,3.0,Virginia Tech,1,2,5,1,0,0,2.50,"5.00
"
RB,Lenny,Cartwright,Jun - 00,187,Sr,3.0,3.0,Colorado,12,206,1185,15,1,4,5.75,"98.75
"
RB,Keith,Dunn,5 - 11,179,Sr,4.0,4.0,Penn State,11,203,1072,14,1,5,5.28,"97.45
"
FB,Robert,Neumann,6 - 1,206,Sr,3.0,3.0,Duke,1,2,1,1,0,0,0.50,"1.00
"
RB,Rich,Dilger,6 - 0,181,(Fr),2.0,3.0,Arkansas,12,114,506,2,0,0,4.44,"42.17
"
RB,Akili,Wallace,5 - 10,180,(Jr),5.0,5.0,Florida State,12,197,1200,23,0,5,6.09,"100.00
"
QB,Johnny,Green,6 - 0,192,Sr,3.5,3.5,TCU,10,66,367,6,0,0,5.56,"36.70
"
QB,Stephen,Allen,6 - 4,213,Sr,3.0,3.0,Illinois,10,69,377,2,0,0,5.46,"37.70
"
RB,Stephen,Scott,5 - 10,180,Sr,3.5,4.0,Arizona,12,182,831,14,1,1,4.57,"69.25
"
QB,Art,Duhon,6 - 2,207,(Fr),2.5,4.0,Arizona State,9,74,424,4,0,0,5.73,"47.11
"
FB,Brian,Gelbaugh,6 - 1,226,Jr,3.0,4.5,California,1,3,3,1,0,0,1.00,"3.00
"
QB,Ryan,Clark,6 - 1,187,Jr,4.0,5.0,Oregon State,6,46,256,3,0,0,5.57,"42.67
"
QB,Derek,Keys,6 - 0,195,Sr,4.0,4.0,Penn State,7,58,287,4,0,0,4.95,"41.00
"
FB,Barrett,Goode,6 - 0,222,Sr,4.0,4.0,Florida State,1,5,8,2,0,0,1.60,"8.00
"
RB,Chris,Clark,5 - 8,170,Fr,2.0,2.5,SMU,12,132,479,4,0,0,3.63,"39.92
"
