 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,David,Walter,6 - 1,197,Sr,2.5,3.0,BYU,12,80,901,8,11.26,"75.08
"
WR,Ryan,Mitchell,5 - 11,176,(Sr),4.5,4.5,Ohio State,4,16,173,0,10.81,"43.25
"
WR,Terry,Cross,6 - 2,173,Jr,3.5,4.5,Oklahoma State,7,23,317,3,13.78,"45.29
"
TE,Bernard,Jones,6 - 4,220,(Jr),2.0,2.0,Illinois,7,17,194,0,11.41,"27.71
"
TE,Dallas,Christy,6 - 3,228,(Jr),3.0,3.5,LSU,10,44,614,5,13.95,"61.40
"
RB,Adrian,Robinson,5 - 11,203,Fr,1.5,4.5,Houston,1,3,38,0,12.67,"38.00
"
WR,Andy,Norris,5 - 11,211,Sr,2.5,2.5,Ole Miss,12,40,441,2,11.03,"36.75
"
RB,Shaun,Evans,5 - 8,191,Sr,5.0,5.0,Texas Tech,1,2,28,0,14.00,"28.00
"
WR,Mosi,Bartos,5 - 8,161,So,5.0,5.0,Boston College,12,104,1333,13,12.82,"111.08
"
RB,Charley,Hill,5 - 8,190,Sr,3.5,3.5,Vanderbilt,1,1,11,0,11.00,"11.00
"
TE,Mark,Novak,6 - 3,217,So,2.0,2.5,Army,2,2,59,0,29.50,"29.50
"
WR,Alex,Gash,6 - 5,186,(Fr),3.0,4.0,Texas A&M,12,57,757,7,13.28,"63.08
"
WR,Mark,Harrington,6 - 6,177,So,4.0,5.0,Penn State,12,60,818,7,13.63,"68.17
"
TE,Brian,Friedman,6 - 5,238,Sr,2.5,3.0,UCF,5,12,109,0,9.08,"21.80
"
WR,Corey,Jodat,6 - 6,165,So,2.0,3.0,Vanderbilt,9,34,397,1,11.68,"44.11
"
WR,Lamar,Marsh,6 - 4,213,Sr,2.5,3.5,Minnesota,7,17,182,0,10.71,"26.00
"
TE,Chris,Walters,6 - 4,218,Fr,1.5,3.5,Colorado,5,17,162,1,9.53,"32.40
"
WR,Rulon,Vereb,6 - 2,170,Sr,2.0,2.5,Arizona State,1,4,22,0,5.50,"22.00
"
WR,Gordon,Kleinsasser,6 - 6,200,So,3.5,5.0,Michigan,4,14,166,1,11.86,"41.50
"
TE,Nathan,Taylor,6 - 3,232,(Jr),4.0,4.5,Texas,11,50,540,5,10.80,"49.09
"
WR,Jarius,Shaw - Dodd,5 - 11,213,Fr,2.5,5.0,Virginia Tech,10,82,1158,13,14.12,"115.80
"
WR,Peter,Foster,6 - 1,174,(So),3.0,4.5,Baylor,4,21,229,1,10.90,"57.25
"
WR,Leslie,Serrano,6 - 5,185,(So),3.5,4.0,Purdue,12,48,589,2,12.27,"49.08
"
WR,Willie,Fauria,6 - 2,192,(Sr),3.0,3.0,Rice,12,92,1112,12,12.09,"92.67
"
WR,David,Barber,5 - 11,176,Sr,2.5,2.5,Iowa State,1,3,29,0,9.67,"29.00
"
