 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
DE,Chris,Henderson,6 - 5,271,R,57,GB,5,16,0,6,0,0,0,0,"0
"
SS,Norman,Rodriguez,5 - 10,179,R,67,IND,1,3,0,0,0,0,0,0,"0
"
OLB,Chris,Ferguson,6 - 2,238,R,59,OAK,3,18,0,0,1,1,0,0,"0
"
DE,John,Staley,6 - 4,262,R,53,MIN,3,9,0,3.5,0,0,0,0,"0
"
CB,Robert,Mayfield,6 - 0,182,R,59,DET,1,1,1,0,0,0,0,0,"0
"
OLB,Hal,Rodriguez,6 - 1,251,R,64,ATL,1,8,0,0,0,0,0,0,"0
"
FS,Gary,Bryant,5 - 11,207,R,64,NO,1,3,1,0,0,0,0,0,"0
"
FS,Stephen,Elliott,6 - 3,197,R,76,OAK,1,3,1,0,0,0,0,0,"0
"
SS,Jermaine,Ford,6 - 1,189,R,56,CAR,2,4,1,0,0,0,0,0,"0
"
ILB,Don,Godwin,6 - 0,239,R,58,NO,5,32,0,1.5,1,0,0,0,"0
"
DT,Joe,Micho,6 - 7,300,R,70,CIN,1,0,0,1,0,0,0,0,"0
"
CB,Sedrick,Madison,6 - 2,183,R,64,DET,6,17,4,0,0,0,0,0,"0
"
DE,Jimmy,Bones,6 - 3,243,1,40,NE,1,1,0,1,0,0,0,0,"0
"
FS,Jim,Sisemore,5 - 10,181,R,80,NYJ,2,8,0,0,0,0,0,0,"0
"
SS,Andrew,Brown,6 - 1,212,1,40,DAL,1,3,0,0,0,0,0,0,"0
"
CB,Will,Baker,5 - 11,190,R,60,NE,5,25,3,0,0,0,0,0,"0
"
CB,Robert,Barnes,5 - 11,176,R,59,CIN,3,11,1,0,0,0,0,0,"0
"
CB,Alan,Ferrell,5 - 8,162,R,67,CLE,1,3,1,0,0,0,0,0,"0
"
DE,Sean,Springs,6 - 4,229,1,40,CLE,3,3,0,4,0,0,0,0,"0
"
OLB,Keyon,Greene,6 - 0,223,R,58,MIA,4,31,0,1,0,0,0,0,"0
"
OLB,Charley,Rivers,6 - 2,254,R,74,NE,5,41,0,1.5,0,0,0,0,"0
"
OLB,Kwazi,Robb,6 - 1,232,R,74,NYJ,5,33,0,2.5,0,0,0,0,"1
"
CB,David,Wilburn,5 - 10,195,R,81,ATL,9,37,7,0,0,0,0,1,"0
"
DE,Tommy,Wietecha,6 - 2,277,R,68,OAK,5,19,0,3,2,1,0,0,"0
"
OLB,Ray,Flores,6 - 1,234,R,71,NO,10,71,0,2.5,0,1,0,0,"0
"
OLB,Darian,Mathis,6 - 0,253,R,71,CLE,8,79,0,3.5,0,0,0,0,"0
"
DT,Rob,Hoffman,6 - 3,311,R,57,CIN,1,0,0,1,0,0,0,0,"0
"
OLB,Germane,Dixon,6 - 2,253,R,74,DET,7,54,0,1,0,0,0,0,"0
"
FS,Joe,Turner,5 - 10,182,R,54,DET,2,9,1,0,0,0,0,0,"0
"
ILB,Bill,Sualua,6 - 0,240,R,61,ATL,7,50,0,1.5,0,0,0,0,"0
"
DE,Jeff,Holleyman,6 - 3,297,R,69,OAK,5,18,0,6.5,0,0,0,0,"0
"
DE,Alvis,Brumm,6 - 6,268,R,80,NYJ,9,30,0,13,0,1,0,0,"1
"
FS,Terry,Cole,6 - 2,202,R,64,MIN,4,15,1,0,0,0,0,0,"0
"
CB,John,Queen,5 - 11,196,R,70,NYJ,2,7,1,0,0,0,0,0,"0
"
OLB,Jeff,Mangum,6 - 2,256,R,77,MIN,8,71,0,1,0,0,0,0,"0
"
DT,Keith,Hooks,6 - 3,293,R,74,MIN,3,7,0,1.5,0,1,0,0,"0
"
FS,Alex,Collins,6 - 0,214,R,74,IND,4,12,1,0,0,0,0,1,"0
"
ILB,Nick,Upshaw,6 - 2,241,R,76,CIN,11,108,0,4,0,0,0,0,"0
"
DE,Rodney,Galbreath,6 - 8,301,R,74,CIN,1,3,0,2,0,0,0,0,"0
"
DE,Blair,Kopay,6 - 3,275,R,77,ATL,7,15,0,6.5,0,0,0,0,"0
"
ILB,DeMond,Goode,6 - 1,232,R,58,NE,4,25,0,2,1,0,0,0,"0
"
ILB,John,Boerigter,6 - 0,241,R,58,DAL,8,62,0,0,0,0,0,0,"0
"
ILB,David,Matthews,6 - 2,244,R,58,DET,7,49,0,0,0,0,0,0,"0
"
DT,Pietro,Dowling,6 - 7,305,1,40,DAL,1,3,0,0,0,0,0,0,"0
"
SS,R.C.,Rone,6 - 1,204,R,74,ATL,4,16,3,0,0,0,0,1,"0
"
DE,Carl,Krause,6 - 1,267,R,54,JAX,1,0,0,1,0,0,0,0,"0
"
SS,Keyshawn,Ayanbadejo,6 - 1,217,R,76,OAK,4,12,3,0,0,0,0,0,"0
"
CB,Lawrence,Matthews,5 - 10,181,R,54,OAK,2,5,2,0,0,0,0,1,"0
"
DE,Dennis,Abdullah,6 - 5,281,R,65,NE,5,18,0,6.5,1,1,0,0,"0
"
ILB,Melvin,Rolovich,6 - 2,236,R,68,MIN,8,72,0,3,1,0,0,0,"0
"
OLB,Jonathan,Daly,6 - 4,240,1,40,OAK,4,27,0,0.5,0,0,0,0,"0
"
ILB,Jim,Bendross,6 - 1,244,R,74,STL,5,52,0,0,0,0,0,0,"0
"
SS,Jonathan,Parker,6 - 2,183,R,71,STL,4,24,0,0,0,0,0,0,"0
"
ILB,Kevin,Harris,6 - 0,249,R,76,MIA,9,82,0,2,0,0,0,0,"0
"
OLB,Stephen,Hutchins,6 - 1,239,R,58,GB,2,11,0,0,0,0,0,0,"0
"
CB,Charles,Francis,6 - 2,186,R,67,ATL,2,7,2,0,0,0,0,0,"0
"
