 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
RB,Mario,Rattay,5 - 10,187,R,64,MIA,11,156,763,16,1,1,4.89,"69.36
"
RB,Don,Williams,5 - 10,226,R,81,CLE,11,176,965,10,0,3,5.48,"87.73
"
RB,Brian,Kiel,6 - 1,213,R,74,NYJ,11,162,823,11,1,1,5.08,"74.82
"
RB,Shawn,Carr,6 - 0,177,R,73,IND,3,50,171,4,0,0,3.42,"57
"
RB,Steven,Curtis,6 - 0,186,R,75,CIN,8,109,463,5,3,1,4.25,"57.88
"
RB,Rob,Blackmon,6 - 0,206,R,80,CIN,11,252,997,9,2,5,3.96,"90.64
"
QB,Nu,Battles,6 - 0,206,R,50,CIN,4,30,65,2,0,0,2.17,"16.25
"
QB,Mike,Hill,6 - 0,202,R,73,OAK,9,59,294,7,0,0,4.98,"32.67
"
FB,Michael,Banks,6 - 2,247,R,58,OAK,2,7,7,2,0,0,1,"3.5
"
RB,Justin,Buchanan,5 - 10,184,R,74,OAK,11,307,1308,12,1,9,4.26,"118.91
"
RB,Kevin,Richards,5 - 11,182,R,80,NO,11,192,843,10,0,1,4.39,"76.64
"
QB,Adolfo,Brown,6 - 4,212,R,49,NO,5,24,19,0,0,0,0.79,"3.8
"
FB,Andre,Reese,5 - 11,230,R,52,CLE,1,3,5,1,0,0,1.67,"5
"
RB,Chester,Henson,5 - 11,226,R,82,MIN,11,180,1253,15,0,6,6.96,"113.91
"
RB,Bryan,Davis,5 - 8,195,R,76,ATL,11,292,1265,17,0,10,4.33,"115
"
RB,Bradie,Sapp,5 - 11,185,R,75,STL,11,177,916,16,0,3,5.18,"83.27
"
RB,Jacquez,Kunz,5 - 11,184,R,57,MIA,1,4,7,1,0,0,1.75,"7
"
RB,Elvis,Williams,5 - 11,181,R,76,NE,11,180,937,16,0,3,5.21,"85.18
"
RB,David,Ortiz,5 - 10,207,R,70,GB,11,152,650,4,0,0,4.28,"59.09
"
QB,Onterrio,Smith,6 - 1,180,R,71,NYJ,10,95,574,8,1,1,6.04,"57.4
"
RB,Dub,Spanno,6 - 0,184,R,66,DET,11,109,489,8,0,0,4.49,"44.45
"
RB,Vaughan,Abraham,5 - 10,201,R,80,DAL,11,213,1173,8,0,5,5.51,"106.64
"
FB,Jonathan,Laskey,6 - 1,244,R,51,DET,1,7,12,1,0,0,1.71,"12
"
FB,Jerry,Higgins,5 - 11,217,R,57,GB,1,4,8,0,0,0,2,"8
"
QB,Alexander,Williams,6 - 0,187,R,79,CLE,11,81,531,8,0,0,6.56,"48.27
"
QB,Allan,Taylor,6 - 0,202,R,82,NO,7,63,449,8,0,0,7.13,"64.14
"
RB,James,Bush,6 - 1,242,R,82,JAX,11,170,889,11,0,2,5.23,"80.82
"
RB,Tony,Peaks,5 - 10,239,R,79,IND,9,152,764,11,0,3,5.03,"84.89
"
