 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
WR,Terry,Cross,6 - 2,173,Sr,4.5,4.5,Oklahoma State,11,47,529,2,11.26,"48.09
"
TE,Dallas,Christy,6 - 3,228,(Sr),3.5,3.5,LSU,1,2,23,1,11.50,"23.00
"
WR,Brett,Tran,5 - 10,173,Jr,2.0,2.0,Pittsburgh,2,3,92,0,30.67,"46.00
"
RB,Leo,Carter,5 - 10,225,Sr,3.5,3.5,Ole Miss,1,4,37,0,9.25,"37.00
"
WR,Tom,Branch,5 - 9,174,(So),4.0,4.0,Boston College,9,51,598,3,11.73,"66.44
"
RB,Chris,Clark,5 - 8,170,So,2.5,2.5,SMU,1,2,15,0,7.50,"15.00
"
WR,David,Boozer,6 - 0,184,Sr,3.5,3.5,Wisconsin,3,9,165,0,18.33,"55.00
"
WR,Alex,Gash,6 - 5,186,(So),3.5,4.0,Texas A&M,14,91,1043,11,11.46,"74.50
"
TE,Curtis,Leftwich,6 - 5,220,Sr,3.0,3.0,Oregon,6,14,160,0,11.43,"26.67
"
WR,Mark,Harrington,6 - 6,177,Jr,5.0,5.0,Penn State,16,82,1424,14,17.37,"89.00
"
TE,Donnie,Allen,6 - 5,247,(So),4.5,5.0,Notre Dame,2,6,67,1,11.17,"33.50
"
RB,Kwendi,Nkwenti,6 - 0,219,So,2.5,4.0,Rice,2,5,46,2,9.20,"23.00
"
WR,Corey,Jodat,6 - 6,165,Jr,2.5,3.0,Vanderbilt,10,24,285,1,11.88,"28.50
"
TE,William,Bouchard,6 - 3,246,Fr,1.0,4.0,ECU,3,6,91,0,15.17,"30.33
"
WR,Brian,Logan,6 - 5,219,Fr,1.0,3.5,Missouri,2,5,75,1,15.00,"37.50
"
TE,Nathan,Taylor,6 - 3,232,(Sr),4.5,4.5,Texas,9,15,290,3,19.33,"32.22
"
RB,David,Giammona,5 - 9,179,(Sr),4.0,4.0,UCLA,2,3,34,0,11.33,"17.00
"
WR,Jarius,Shaw - Dodd,5 - 11,213,So,4.0,5.0,Virginia Tech,7,29,560,5,19.31,"80.00
"
WR,Peter,Foster,6 - 1,174,(Jr),4.5,4.5,Baylor,10,21,266,1,12.67,"26.60
"
WR,Curtis,Jeffreys,5 - 11,207,So,3.5,4.0,San Diego State,10,36,635,5,17.64,"63.50
"
WR,Leslie,Serrano,6 - 5,185,(Jr),4.0,4.0,Purdue,13,50,867,8,17.34,"66.69
"
TE,Arnold,Lang,6 - 1,224,Sr,2.5,2.5,Boston College,3,11,141,3,12.82,"47.00
"
WR,Dan,Rice,6 - 1,175,(Fr),2.5,3.5,TCU,12,33,266,1,8.06,"22.17
"
WR,Dale,Klein,6 - 5,220,Fr,2.5,2.5,Navy,3,6,68,0,11.33,"22.67
"
TE,Charles,Martinez,6 - 4,238,Jr,3.0,3.0,Navy,11,28,376,4,13.43,"34.18
"
WR,Raymond,Jones,6 - 3,210,Fr,3.0,3.0,Notre Dame,1,3,21,1,7.00,"21.00
"
WR,Robert,Hunt,6 - 4,192,(Sr),4.0,4.0,Michigan State,13,32,513,4,16.03,"39.46
"
RB,Marshawn,Hunter,5 - 11,196,So,2.5,3.5,Stanford,1,4,43,1,10.75,"43.00
"
WR,George,Hall,5 - 9,181,(Sr),3.5,3.5,Maryland,10,23,293,1,12.74,"29.30
"
RB,Freddie,Curry,5 - 8,180,Sr,2.5,2.5,Duke,2,6,67,1,11.17,"33.50
"
WR,Aaron,Pagliei,6 - 3,185,Jr,4.5,4.5,Florida,11,38,491,5,12.92,"44.64
"
WR,John,Kenney,6 - 1,200,(Jr),3.5,3.5,Auburn,7,13,216,0,16.62,"30.86
"
TE,Alex,Dareus,6 - 2,241,(Fr),2.0,3.5,Illinois,4,5,52,1,10.40,"13.00
"
WR,Mosi,Bartos,5 - 8,161,Jr,5.0,5.0,Boston College,13,97,1485,15,15.31,"114.23
"
