 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
CB,Antonio,Burch,6 - 2,188,Sr,5.0,5.0,Michigan,6,27,3,0.0,0,0,0,0,"0
"
DE,Stephen,Jones,6 - 8,271,Sr,4.0,4.0,Pittsburgh,1,3,0,1.0,0,0,0,0,"0
"
CB,Lee,Davis,6 - 2,174,(So),3.5,4.0,Oklahoma,8,23,9,0.0,0,0,0,2,"0
"
OLB,Scott,Crocker,6 - 1,230,(Jr),2.5,2.5,Washington,5,33,1,0.0,0,0,0,0,"0
"
DE,Derrick,Thomas,6 - 7,272,Sr,4.5,4.5,Texas A&M,6,21,0,9.0,0,0,0,0,"0
"
DT,Clint,Harmon,6 - 8,283,Jr,3.5,4.5,Missouri,2,8,0,2.0,0,0,0,0,"0
"
DE,James,Garcia,6 - 7,261,Sr,4.0,4.0,Nebraska,4,12,0,4.0,0,1,0,0,"0
"
OLB,Al,Hill,6 - 2,228,Sr,2.5,4.5,Louisville,6,35,0,1.0,0,0,0,0,"0
"
CB,Keith,Wilson,6 - 1,198,So,3.0,3.0,Indiana,2,10,0,0.0,0,0,0,0,"0
"
CB,Wendell,Thomas,5 - 8,171,Jr,2.5,3.5,Louisville,3,12,1,0.0,0,0,0,0,"0
"
OLB,Evan,King,6 - 0,235,Sr,4.0,4.0,Boise State,9,70,1,2.0,0,0,0,0,"0
"
SS,Juan,Cole,6 - 0,174,Jr,2.0,2.0,Oregon State,1,5,0,0.0,0,0,0,0,"0
"
DE,Doug,Carolan,6 - 0,263,(So),4.5,5.0,Florida,5,14,0,10.0,0,0,0,0,"0
"
OLB,Richard,Wray,5 - 11,216,(Fr),2.5,4.0,Georgia,2,12,0,0.0,0,0,0,0,"0
"
ILB,Gary,Bower,6 - 2,229,Jr,3.5,4.5,Utah,8,62,0,2.0,0,0,0,0,"0
"
DT,Steve,Phillips,6 - 2,285,(Jr),4.0,4.0,Iowa,3,11,0,1.0,0,0,0,0,"0
"
ILB,Daleroy,Smart,5 - 11,224,Jr,4.5,5.0,Washington State,8,62,1,0.0,0,0,0,0,"0
"
DT,Guy,Downs,6 - 1,277,(Jr),3.0,3.0,Duke,1,4,0,0.0,0,0,0,0,"0
"
FS,Colston,Watson,5 - 10,191,(Jr),4.5,4.5,Clemson,2,6,1,0.0,0,0,0,0,"0
"
ILB,Ryan,Hanspard,6 - 1,217,Jr,3.5,4.0,Penn State,12,99,1,4.0,2,1,0,0,"0
"
CB,Jeno,Burks,5 - 11,189,Sr,3.5,3.5,Georgia,5,10,6,0.0,0,0,0,2,"0
"
DE,John,Walter,6 - 7,261,Sr,2.5,2.5,Fresno State,2,5,0,3.0,0,0,0,0,"0
"
CB,Madre,Sanders,5 - 10,168,Sr,3.5,3.5,Arkansas,10,45,3,0.0,0,0,0,1,"0
"
CB,Vince,Flowers,6 - 0,185,(Jr),3.5,3.5,TCU,4,13,1,0.0,0,0,0,1,"0
"
DT,Little John,Sweeney,6 - 0,267,Jr,2.5,2.5,Vanderbilt,4,13,0,4.0,1,1,1,0,"0
"
ILB,Joseph,Snider,6 - 2,224,Jr,3.5,3.5,Oregon State,9,51,1,1.0,0,0,0,0,"0
"
CB,Cameron,Marshall,5 - 10,178,So,2.0,2.5,Rice,1,4,0,0.0,0,0,0,0,"0
"
FS,Thomas,Lewis,5 - 10,174,(Fr),2.5,3.5,Georgia State,4,18,0,0.0,0,0,0,0,"0
"
OLB,Matt,Clanton,6 - 1,231,(Sr),3.0,3.0,Boston College,3,20,0,0.0,0,0,0,0,"0
"
CB,Moe,McMillan,5 - 10,183,Sr,5.0,5.0,Virginia Tech,7,21,6,0.0,0,0,0,1,"0
"
CB,Scott,Cartwright,5 - 11,187,Jr,4.5,4.5,USC,9,32,7,0.0,0,0,0,1,"0
"
FS,Bob,Larsen,5 - 10,180,Jr,1.5,1.5,Auburn,3,12,1,0.0,0,0,0,0,"0
"
DE,Hayward,Weaver,6 - 6,273,(Jr),3.5,3.5,Washington,3,9,0,3.0,0,0,0,0,"0
"
DE,Ozzie,Love,6 - 1,255,Jr,3.0,3.0,Oklahoma,3,17,0,1.0,0,1,0,0,"0
"
ILB,Frederick,Sanders,6 - 2,243,Jr,2.0,3.5,New Mexico,9,51,0,0.0,0,0,0,0,"0
"
FS,Rob,Hamilton,5 - 11,188,(Jr),4.0,4.5,UCLA,2,2,2,0.0,0,0,0,0,"0
"
DE,Larry,Cruz,6 - 8,254,Jr,2.5,2.5,Indiana,2,9,0,0.0,0,0,0,0,"0
"
CB,Edward,Dixon,6 - 0,173,Fr,1.0,4.0,North Carolina,3,4,3,0.0,0,0,0,0,"0
"
DE,Leonard,Huffman,6 - 8,279,So,3.5,3.5,Houston,10,38,0,9.0,0,0,0,0,"0
"
OLB,Dick,Little,6 - 2,227,(Sr),3.0,3.0,West Virginia,5,36,0,0.0,0,0,0,0,"0
"
CB,Justin,Davis,5 - 11,173,Sr,5.0,5.0,Florida,9,45,6,0.0,0,0,0,2,"0
"
DE,Tyler,Griggs,6 - 4,275,(Fr),2.0,3.0,ECU,4,13,0,3.0,0,0,0,0,"0
"
ILB,Clifford,Pittman,6 - 4,221,So,3.0,3.5,UCF,8,48,0,0.0,0,0,0,0,"0
"
DE,Denver,Price,6 - 1,251,(Sr),3.0,3.0,Army,3,9,0,1.0,0,0,0,0,"0
"
SS,Adam,Blackmon,5 - 10,171,(Sr),3.5,3.5,Boston College,2,9,1,0.0,0,0,0,0,"0
"
CB,Sammy,Muhammad,5 - 10,178,(Sr),5.0,5.0,Missouri,7,19,6,0.0,0,0,0,3,"0
"
DE,Glenn,Fann,6 - 8,278,Sr,2.5,2.5,Houston,1,1,0,2.0,0,0,0,0,"0
"
OLB,Eric,Bone,5 - 11,215,So,4.0,4.0,LSU,2,13,0,0.0,0,0,0,0,"0
"
DT,Montae,Kelly,6 - 2,299,(So),3.5,4.5,Michigan,6,25,0,2.0,0,0,1,0,"0
"
DT,Wilburn,Ball,6 - 6,290,(Fr),1.5,4.5,Notre Dame,2,8,0,1.0,0,0,0,0,"0
"
FS,Edward,Harrison,5 - 10,168,(Jr),4.5,4.5,Northwestern,2,5,1,0.0,0,0,0,0,"0
"
OLB,Jeff,Still,1 - Jun,241,Sr,3.5,3.5,Colorado,3,16,0,0.0,0,0,0,0,"0
"
OLB,Robert,White,6 - 1,217,(Jr),2.5,3.5,Air Force,1,6,0,0.0,0,0,0,0,"0
"
DE,Larry,Manning,6 - 8,263,(So),3.0,3.0,Iowa State,4,10,0,7.0,0,0,1,0,"0
"
DE,Arnold,Smith,6 - 1,267,Sr,4.0,4.0,Arkansas,5,12,0,6.0,0,0,0,0,"0
"
DE,Peter,Griggs,6 - 7,251,Jr,3.5,3.5,Kansas,1,3,0,1.0,0,0,0,0,"0
"
DT,Al,Lindsey,6 - 1,296,Sr,4.5,4.5,Washington State,2,5,0,2.0,0,0,0,0,"0
"
DT,Michael,Carroll,6 - 8,265,(Fr),3.0,5.0,Hawaii,1,6,0,1.0,0,0,0,0,"0
"
