 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Byron,Harper,6 - 3,225,So,3.5,4.5,Utah,12,143,241,60.00,1750,8,6,127.76,7.26,"145.83
"
QB,Donald,Caldwell,6 - 3,233,(Jr),4.5,5.0,NC State,12,230,365,62.56,2922,21,8,143.84,8.01,"243.50
"
QB,Alex,Leshoure,6 - 1,205,(Fr),3.5,5.0,Boston College,13,359,535,66.77,4112,30,11,145.63,7.69,"316.31
"
RB,Jose,Melendez,5 - 11,186,(Jr),2.5,3.0,Fresno State,2,2,6,30.00,35,1,1,59.12,5.83,"17.50
"
QB,Melvin,Jefferson,6 - 3,202,(So),3.0,4.5,Ohio State,8,79,141,55.56,947,11,5,130.48,6.72,"118.38
"
QB,Jimmy,Starks,6 - 1,210,(Sr),4.5,4.5,Ole Miss,12,192,343,56.30,2056,9,6,111.88,5.99,"171.33
"
QB,Christopher,Gentile,6 - 2,196,(Sr),3.0,3.0,Indiana,12,110,218,50.72,1128,3,7,92.63,5.17,"94.00
"
QB,Stephan,Bennett,6 - 2,203,(Jr),3.0,3.5,Nevada,12,121,230,53.51,1452,4,6,107.98,6.31,"121.00
"
QB,Marv,Pate,6 - 0,180,Sr,2.5,2.5,Nebraska,2,10,24,40.54,77,0,1,56.97,3.21,"38.50
"
QB,Wayne,Schmidt,6 - 1,172,So,2.5,4.5,Oklahoma State,12,214,420,51.07,2307,7,3,102.07,5.49,"192.25
"
QB,Anthony,Newson,6 - 1,226,(Jr),4.0,4.5,Washington,13,197,305,64.79,2570,15,5,147.54,8.43,"197.69
"
QB,Robert,Martin,6 - 1,184,(Jr),4.0,4.5,Colorado State,12,309,520,59.80,3217,23,9,123.09,6.19,"268.08
"
QB,Tommy,Jones,6 - 3,198,(So),4.0,5.0,Michigan,11,165,268,61.92,2000,10,7,131.46,7.46,"181.82
"
QB,Ryan,Clark,6 - 1,187,Sr,5.0,5.0,Oregon State,12,203,300,68.17,2920,11,6,160.16,9.73,"243.33
"
QB,A.J.,Bowden,6 - 1,205,(Fr),3.0,4.5,Kentucky,1,5,16,31.25,63,0,2,39.33,3.94,"63.00
"
QB,Art,Duhon,6 - 2,207,(So),3.0,4.0,Arizona State,9,87,147,59.57,903,2,8,106.02,6.14,"100.33
"
QB,Sam,Light,5 - 11,194,(Jr),4.5,4.5,Texas,13,116,181,63.71,1716,11,3,158.41,9.48,"132.00
"
QB,Charlie,Walter,6 - 3,228,Fr,3.0,4.5,Hawaii,10,282,470,59.55,3190,23,9,128.94,6.79,"319.00
"
QB,Stephen,Wilkinson,6 - 4,194,Sr,3.0,3.0,SMU,13,188,330,57.45,2328,19,9,132.55,7.05,"179.08
"
QB,Horace,Johnson,5 - 11,199,(Jr),3.0,4.0,Texas A&M,2,33,52,62.07,310,4,0,140.05,5.96,"155.00
"
QB,Glenn,White,6 - 2,176,Sr,4.0,4.0,Texas Tech,14,196,300,65.34,2527,17,5,151.07,8.42,"180.50
"
QB,Darius,Brock,6 - 0,199,(Fr),3.0,3.0,Arizona State,4,58,88,67.11,789,6,2,165.24,8.97,"197.25
"
QB,Charlie,Taylor,6 - 5,230,(Sr),3.5,3.5,Auburn,13,191,288,66.91,2660,24,9,167.02,9.24,"204.62
"
QB,Drew,Lewis,6 - 1,213,(So),4.0,4.0,Michigan State,13,113,187,60.77,1346,6,5,126.37,7.20,"103.54
"
QB,Doug,Reynolds,6 - 2,187,(Jr),3.0,3.5,Vanderbilt,13,165,258,63.58,2036,14,5,142.97,7.89,"156.62
"
QB,C.J.,Logan,6 - 2,183,Sr,4.0,4.0,Clemson,13,362,587,61.53,3678,28,16,123.61,6.27,"282.92
"
QB,Harold,Simmons,6 - 1,180,Sr,5.0,5.0,Notre Dame,13,242,369,65.17,3044,17,8,145.34,8.25,"234.15
"
QB,Michael,Hicks,6 - 3,192,(So),2.0,2.5,TCU,2,35,81,45.00,273,0,6,59.19,3.37,"136.50
"
QB,Roy,Hunt,6 - 4,173,(So),3.0,4.0,Washington,1,4,6,66.67,44,1,0,183.27,7.33,"44.00
"
QB,James,Mitchell,6 - 0,214,(Fr),2.5,3.5,UCF,12,127,221,57.55,1652,4,6,119.96,7.48,"137.67
"
QB,Cleveland,Jones,6 - 3,192,(Jr),3.0,4.0,Tennessee,13,187,314,60.97,2245,11,9,129.50,7.15,"172.69
"
QB,Les,Henderson,6 - 4,193,(So),3.5,4.5,Georgia,1,4,4,100.00,43,0,0,190.30,10.75,"43.00
"
QB,Teddy,Rogers,6 - 0,192,So,3.0,3.0,Rice,12,210,366,57.57,2549,13,14,122.36,6.96,"212.42
"
QB,Jamie,Avery,6 - 1,219,(Fr),3.0,3.5,Georgia Tech,12,341,576,59.52,3797,32,13,129.99,6.59,"316.42
"
QB,James,Francisco,6 - 1,177,(Sr),4.5,4.5,Rutgers,12,186,307,60.67,2013,12,8,122.36,6.56,"167.75
"
QB,Joel,King,6 - 1,220,Fr,2.5,5.0,Houston,14,252,412,61.22,3576,29,7,153.77,8.68,"255.43
"
QB,Mark,Starnes,6 - 4,219,(So),3.0,4.0,BYU,13,224,349,64.78,2611,15,7,138.34,7.48,"200.85
"
QB,Aaron,Devereaux,6 - 6,204,(Jr),5.0,5.0,LSU,13,260,388,66.89,3710,27,7,166.09,9.56,"285.38
"
QB,Glen,Spencer,6 - 1,170,(Jr),4.0,5.0,Ohio State,6,71,106,68.25,911,3,4,140.23,8.59,"151.83
"
QB,Aaron,Shea,6 - 2,204,So,3.5,5.0,Missouri,12,230,368,62.31,3064,14,5,142.26,8.33,"255.33
"
QB,Marshall,Newman,6 - 0,195,So,2.0,3.0,Kansas State,1,10,29,34.48,89,0,1,53.37,3.07,"89.00
"
QB,Jeremy,Hubbard,6 - 0,214,(Fr),1.5,2.5,TCU,10,85,208,39.95,790,2,15,59.75,3.80,"79.00
"
QB,Clifford,Abreu,6 - 2,191,(Jr),3.0,3.5,Air Force,12,143,229,62.30,1795,9,8,134.03,7.84,"149.58
"
QB,James,Gibbs,6 - 3,210,Sr,2.5,2.5,Nebraska,1,5,13,38.46,43,0,1,50.86,3.31,"43.00
"
QB,Thomas,Hunter,6 - 4,197,(Jr),3.5,3.5,Northwestern,13,148,232,63.49,2069,13,6,148.48,8.92,"159.15
"
QB,Raoul,Gomez,6 - 0,220,(Fr),3.0,4.0,Washington State,12,285,516,54.79,3197,21,7,117.23,6.20,"266.42
"
QB,Sean,Hadnot,6 - 5,217,(So),5.0,5.0,Alabama,13,217,304,71.16,3016,19,5,173.85,9.92,"232.00
"
QB,Todd,Lester,6 - 0,194,Sr,5.0,5.0,California,13,210,325,64.84,3063,19,8,158.84,9.42,"235.62
"
QB,DeAndre,Jackson,6 - 1,199,(Jr),4.0,4.5,Kansas,13,157,258,60.81,1889,10,6,130.36,7.32,"145.31
"
QB,Robert,Berns,6 - 0,182,Jr,2.0,2.0,Hawaii,4,38,98,39.44,358,2,3,71.84,3.65,"89.50
"
QB,Adam,Stave,6 - 4,220,So,3.0,4.0,Army,12,186,318,58.85,2188,11,4,125.92,6.88,"182.33
"
QB,Todd,Jennings,6 - 6,201,(So),4.0,4.5,Penn State,16,271,435,62.13,3754,33,6,156.84,8.63,"234.62
"
QB,Tyron,Maddox,6 - 0,196,So,2.5,2.5,Nebraska,9,82,167,49.52,976,4,9,94.80,5.84,"108.44
"
QB,Charlie,Amberg,5 - 11,192,Sr,1.5,1.5,TCU,1,1,8,12.50,14,0,1,2.20,1.75,"14.00
"
QB,Jamie,Holden,6 - 1,195,Sr,3.5,3.5,Oklahoma,1,3,3,100.00,15,0,0,142.00,5.00,"15.00
"
QB,Norris,Brooksheer,6 - 3,207,(So),5.0,5.0,Oklahoma,16,277,409,67.76,3851,33,6,171.03,9.42,"240.69
"
QB,Joe,Washington,5 - 11,183,Sr,3.0,3.0,South Carolina,12,111,232,49.32,1327,5,6,103.03,5.72,"110.58
"
QB,Taylor,Heiden,6 - 3,197,Sr,4.5,4.5,Arkansas,12,221,346,64.01,2943,21,7,151.50,8.51,"245.25
"
QB,Mark,White,6 - 3,199,(Jr),4.0,4.5,Duke,12,213,478,44.41,2368,11,9,88.83,4.95,"197.33
"
QB,Clyde,Campbell,6 - 5,203,(So),2.0,2.5,Illinois,13,112,203,54.87,1337,7,7,115.13,6.59,"102.85
"
QB,Allen,Cooper,6 - 4,211,Sr,3.0,3.0,Kansas State,11,109,223,49.29,1332,7,7,104.79,5.97,"121.09
"
QB,William,Stevens,6 - 5,210,Fr,3.0,3.0,Navy,12,138,244,56.50,1618,6,7,114.80,6.63,"134.83
"
QB,Taylor,Rodriguez,6 - 1,209,(So),4.0,5.0,Arizona,13,259,366,70.27,3466,29,7,170.44,9.47,"266.62
"
QB,Erik,Wegert,6 - 4,218,(Sr),5.0,5.0,Wisconsin,13,222,324,68.28,3149,28,4,175.21,9.72,"242.23
"
QB,Allan,O'Hennesy,6 - 0,222,(Fr),2.0,4.5,Syracuse,13,176,293,60.64,2158,14,9,132.56,7.37,"166.00
"
QB,Pat,Ballard,6 - 2,178,(Jr),3.0,3.5,Louisville,12,191,350,54.77,2122,11,12,110.06,6.06,"176.83
"
QB,L.J.,Offerman,6 - 2,186,(Fr),2.5,4.0,Colorado,12,146,254,57.94,1786,12,9,126.93,7.03,"148.83
"
QB,Mike,Thomas,6 - 3,230,(Jr),4.5,4.5,USC,15,272,391,69.33,3531,30,10,164.48,9.03,"235.40
"
QB,Dick,Cook,6 - 2,205,(Jr),5.0,5.0,Florida State,15,201,325,62.42,2399,11,5,133.18,7.38,"159.93
"
QB,Jarius,Jones,6 - 1,205,(Jr),5.0,5.0,Iowa,14,431,672,64.00,4331,29,6,130.11,6.44,"309.36
"
QB,Corey,Mendoza,6 - 5,223,(So),3.5,4.5,Purdue,13,191,286,66.91,2798,18,5,167.48,9.78,"215.23
"
QB,Jeffrey,Powers,6 - 0,199,Jr,3.0,4.0,Maryland,6,83,131,65.00,1262,10,1,173.53,9.63,"210.33
"
QB,Bernard,Gbaja - Biamila,6 - 5,224,Sr,4.0,4.0,Georgia,15,211,323,65.55,2516,14,5,142.58,7.79,"167.73
"
QB,Michael,Murphy,6 - 3,209,Fr,1.5,3.0,Connecticut,12,114,226,49.88,1231,4,9,90.72,5.45,"102.58
"
QB,Sean,O'Reilly,6 - 1,217,(Fr),4.0,4.0,Minnesota,13,164,253,64.07,1926,15,10,136.98,7.61,"148.15
"
QB,Jason,Fowler,6 - 0,205,(Jr),3.5,3.5,Stanford,14,381,620,61.26,4031,23,7,126.16,6.50,"287.93
"
QB,Adrian,Jenkins,6 - 1,188,So,3.0,4.0,Fresno State,12,182,305,59.66,2355,14,8,133.84,7.72,"196.25
"
QB,Paul,Davenport,6 - 0,198,(So),4.5,5.0,Miami,12,165,288,57.38,2007,7,12,116.85,6.97,"167.25
"
QB,Justin,Hunter,6 - 0,210,So,3.5,4.0,Mississippi State,12,203,344,58.60,2694,19,8,137.08,7.83,"224.50
"
QB,Yancey,Musgrave,6 - 0,187,(So),4.0,5.0,Florida,12,200,298,67.19,2629,18,4,158.66,8.82,"219.08
"
QB,Orly,Vaccaro,6 - 2,215,So,3.0,4.0,San Diego State,12,153,239,64.49,2121,11,6,150.03,8.87,"176.75
"
QB,Jerry,Walker,6 - 4,181,Sr,3.5,3.5,ECU,13,165,278,59.70,2004,11,9,128.41,7.21,"154.15
"
QB,Alfred,Spruill,6 - 0,202,Sr,3.0,3.0,Iowa State,12,134,226,58.80,1707,9,11,126.12,7.55,"142.25
"
QB,A.J.,Jefferson,6 - 3,194,So,4.5,5.0,North Carolina,12,387,608,63.53,4285,33,12,136.56,7.05,"357.08
"
QB,Jasen,Broadnax,6 - 0,196,Sr,4.5,4.5,Oregon,13,158,241,65.52,2003,13,5,148.64,8.31,"154.08
"
QB,Tom,Dupree,6 - 2,202,Fr,1.0,3.5,Michigan,3,31,68,44.92,282,2,3,78.68,4.15,"94.00
"
QB,Flipper,McCutcheon,6 - 2,186,(Sr),3.5,3.5,West Virginia,13,152,269,56.67,1828,13,9,122.49,6.80,"140.62
"
QB,Ken,Eller,6 - 4,200,(Jr),4.5,4.5,UCLA,12,214,369,57.68,2347,10,5,116.44,6.36,"195.58
"
QB,DeSean,Jenkins,6 - 4,195,So,3.0,4.5,Wake Forest,12,134,241,55.89,1812,4,7,120.01,7.52,"151.00
"
QB,Darrell,Rodriguez,6 - 1,184,Sr,2.5,2.5,New Mexico,12,124,246,49.68,1423,6,17,91.21,5.78,"118.58
"
QB,Robert,Wright,6 - 5,202,(Jr),4.0,4.0,Cincinnati,12,192,294,64.91,2724,18,8,157.00,9.27,"227.00
"
QB,Bob,Dowler,6 - 4,203,(Jr),3.5,4.5,Virginia,12,302,572,52.91,3234,13,16,102.77,5.65,"269.50
"
QB,Jason,Vick,6 - 0,188,(Fr),3.0,3.0,Baylor,12,146,272,53.77,1462,3,5,100.19,5.38,"121.83
"
QB,Jose,Kirkpatrick,5 - 11,208,(Sr),3.5,3.5,Maryland,7,111,186,59.31,1300,9,3,130.58,6.99,"185.71
"
QB,Rob,Green,6 - 2,175,(So),4.0,4.0,Virginia Tech,12,164,257,64.24,2366,10,2,153.65,9.21,"197.17
"
QB,Charles,Riddle,6 - 0,238,Fr,2.5,3.0,Georgia State,12,227,394,57.03,2441,16,4,117.91,6.20,"203.42
"
QB,Matty,Swift,5 - 11,198,(Fr),2.5,5.0,Texas A&M,13,401,702,56.51,4465,30,15,117.73,6.36,"343.46
"
QB,Brett,Bowlin,5 - 11,205,Sr,4.5,4.5,Boise State,14,256,404,63.35,3571,27,5,157.52,8.84,"255.07
"
