 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
DE,Blair,Kopay,6 - 3,275,1,80, - ,Atlanta,5,20,0,6.5,0,0,0,0,"0
"
CB,Larry,Prentice,6 - 2,184,1,59, - ,St. Louis,1,1,1,0.0,0,0,0,0,"0
"
SS,Tony,Hennigan,5 - 10,184,1,65, - ,New York Jets,2,9,0,0.0,0,0,0,0,"0
"
ILB,Richard,Wilson,6 - 2,231,R,74, - ,Jacksonville,12,81,0,0.0,0,0,0,0,"0
"
OLB,R - Kal,McNeil,73,253,1,57, - ,Carolina,3,16,0,0.0,0,0,0,0,"0
"
DT,Oliver,Miller,6 - 8,301,1,65, - ,New England,3,6,0,2.0,0,0,0,0,"1
"
CB,Steven,Holland,6 - 1,175,1,58, - ,Indianapolis,1,4,0,0.0,0,0,0,0,"0
"
CB,Nate,Steed,5 - 11,176,R,66, - ,Baltimore,5,16,5,0.0,0,0,0,0,"0
"
OLB,Jeff,Mangum,6 - 2,256,1,82, - ,Minnesota,9,57,1,1.5,0,0,0,1,"0
"
OLB,Tyrone,Jones,5 - 11,233,R,84, - ,Baltimore,11,95,1,3.0,1,2,0,0,"2
"
CB,Joel,Prince,6 - 1,207,R,81, - ,Jacksonville,6,26,3,0.0,0,0,0,1,"0
"
FS,Rock,Darius,73,171,1,57, - ,Carolina,1,1,1,0.0,0,0,0,0,"0
"
CB,Jim,Milloy,6 - 1,173,R,76, - ,Oakland,3,10,2,0.5,0,0,0,1,"0
"
DT,Jared,Lee,6 - 5,313,R,74, - ,Minnesota,4,22,0,2.5,0,0,0,0,"0
"
FS,Charlie,McDonald,5 - 10,185,R,72, - ,New Orleans,2,5,1,0.0,0,0,0,0,"0
"
CB,Kenny,Allen,5 - 8,182,R,69, - ,Indianapolis,1,2,1,0.0,0,0,0,0,"0
"
CB,James,Neufeld,6 - 0,188,1,63, - ,Baltimore,1,3,1,0.0,0,0,0,1,"0
"
OLB,Billy,Anderson,75,241,R,70, - ,Carolina,6,33,0,0.0,0,1,0,0,"0
"
FS,Juan,Hutchinson,5 - 9,170,R,71, - ,New York Jets,2,7,1,0.0,0,0,0,1,"0
"
SS,Robert,Medina,5 - 11,210,R,69, - ,New York Giants,4,17,1,0.0,0,0,0,0,"0
"
DE,Andrew,Fazande,6 - 4,265,R,79, - ,St. Louis,7,24,0,7.5,0,0,1,0,"0
"
SS,Marcus,Mili,6 - 2,217,1,62, - ,Cincinnati,1,4,1,0.0,0,0,0,0,"0
"
ILB,Kevin,Harris,6 - 0,249,1,81, - ,Miami,13,92,3,3.5,2,1,0,1,"0
"
OLB,Ray,Truax,6 - 1,233,1,79, - ,Cincinnati,5,27,0,0.0,1,1,0,1,"0
"
DT,A.B.,Todd,6 - 6,308,R,64, - ,Miami,5,22,0,2.0,1,1,0,0,"0
"
OLB,Vince,Smith,6 - 1,234,R,75, - ,Indianapolis,7,39,1,0.0,0,0,0,1,"0
"
OLB,Kenny,Salata,5 - 11,236,R,75, - ,Houston,1,5,0,0.0,0,0,0,0,"0
"
DE,Joe,Washington,6 - 1,268,1,70, - ,Houston,2,3,0,2.0,0,0,0,0,"0
"
CB,Robert,Mayfield,6 - 0,182,1,60, - ,Detriot,2,7,1,0.0,0,0,0,1,"0
"
FS,Randall,Jones,6 - 2,190,R,75, - ,Oakland,4,22,1,0.0,0,0,0,0,"0
"
CB,B.J.,Dawkins,5 - 11,176,1,69, - ,Atlanta,2,7,2,0.0,0,0,0,0,"0
"
SS,Darrell,Brown,6 - 0,197,R,74, - ,Green Bay,1,3,1,0.0,0,0,0,0,"0
"
ILB,Mike,Bledsoe,6 - 1,231,R,74, - ,Atlanta,1,7,0,0.0,0,0,0,0,"0
"
DT,Marquise,Villarrial,6 - 4,303,R,62, - ,Oakland,1,5,0,0.0,0,0,0,0,"0
"
CB,Tony,Smith,6 - 1,191,R,74, - ,Indianapolis,1,3,1,0.0,0,0,0,1,"0
"
SS,Mike,Robinson,6 - 0,196,1,73, - ,New England,2,4,2,0.0,0,0,0,1,"0
"
FS,Stephen,Elliott,6 - 3,197,1,80, - ,New York Giants,5,25,2,0.0,0,0,0,0,"0
"
OLB,Derrick,Martin,6 - 0,241,R,81, - ,Tampa Bay,12,84,0,4.5,1,0,0,0,"2
"
FS,Jim,Sisemore,5 - 10,181,1,82, - ,Green Bay,3,8,3,0.0,0,0,0,0,"0
"
FS,Randy,Moulds,6 - 2,198,1,76, - ,Cleveland,1,6,0,0.0,0,0,0,0,"0
"
ILB,Andre,Brooks,06 - 01,256,1,86, - ,New England,13,113,3,3.0,0,1,0,0,"0
"
DT,Reggie,Howard,6 - 6,306,R,69, - ,St. Louis,1,1,0,1.0,0,0,0,0,"0
"
SS,Norman,Rodriguez,5 - 10,179,1,69, - ,Baltimore,1,6,0,0.5,0,0,0,0,"0
"
FS,Mo,Wilkins,6 - 2,179,R,69, - ,Jacksonville,2,7,1,0.0,0,0,0,0,"0
"
DE,Rodney,Matlock,6 - 5,262,R,63, - ,Cincinnati,1,4,0,1.0,0,0,0,0,"0
"
FS,Terry,Cole,6 - 2,202,1,67, - ,Minnesota,3,7,2,0.0,0,0,0,0,"0
"
CB,Charles,Francis,6 - 2,186,1,71, - ,New York Giants,1,1,1,0.0,0,0,0,0,"0
"
ILB,Ross,Parker,5 - 11,227,R,66, - ,Atlanta,1,0,0,0.0,0,0,1,1,"0
"
DE,Jeff,Holleyman,6 - 3,297,R,76, - ,Oakland,3,8,0,3.5,0,0,0,0,"0
"
DE,Alvis,Brumm,6 - 6,268,1,87, - ,New York Jets,9,30,0,13.0,0,1,0,0,"1
"
FS,Terry,Offerdahl,5 - 11,181,R,61, - ,St. Louis,3,6,2,0.0,0,0,0,0,"0
"
ILB,William,Wallace,6 - 1,224,R,67, - ,Houston,1,5,0,0.0,0,0,0,0,"0
"
FS,Alyn,Namath,6 - 1,172,1,73, - ,Baltimore,2,9,1,0.0,0,0,0,0,"0
"
DT,Bob,Ballard,6 - 1,292,R,77, - ,New York Jets,3,7,0,2.0,1,0,0,0,"0
"
SS,Dan,Maxwell,5 - 10,181,1,70, - ,Tampa Bay,7,29,2,0.0,1,0,0,0,"0
"
DE,Michael,Schuster,6 - 3,265,R,74, - ,Atlanta,2,6,0,3.0,0,0,0,0,"0
"
DT,Terry,Dewalt,6 - 2,312,1,73, - ,Atlanta,3,13,0,3.0,0,0,0,0,"0
"
FS,Sean,Burton,6 - 0,202,R,81, - ,Indianapolis,3,6,3,0.0,0,0,0,0,"0
"
SS,Keyshawn,Ayanbadejo,6 - 1,217,R,79, - ,Oakland,6,22,3,0.0,0,1,0,1,"0
"
CB,Gordon,Moreland,5 - 11,187,R,70, - ,Cleveland,1,5,0,1.0,0,0,0,0,"0
"
OLB,Casey,Brzezinski,5 - 11,227,R,68, - ,New York Giants,7,40,0,1.0,0,0,0,0,"0
"
CB,Clarence,Simmons,6 - 3,203,R,69, - ,St. Louis,5,14,4,0.0,0,0,0,0,"0
"
DE,Devone,Willis,6 - 8,273,1,63, - ,Miami,6,25,0,4.0,0,0,0,0,"0
"
DE,Tim,Carson,6 - 3,285,R,72, - ,Jacksonville,2,10,0,1.0,0,0,0,0,"0
"
OLB,Koren,Slaughter,6 - 2,221,1,59, - ,Baltimore,1,6,0,0.0,0,0,0,0,"0
"
CB,Henri,Muhammad,5 - 10,186,1,70, - ,Houston,1,2,1,0.0,0,0,0,1,"0
"
OLB,Deuce,Harris,5 - 11,223,1,61, - ,New Orleans,7,48,1,0.0,0,0,0,0,"0
"
ILB,Mark,Craig,6 - 1,230,R,78, - ,Detriot,10,82,1,0.0,0,0,0,0,"0
"
ILB,Dennis,Smith,6 - 0,251,R,75, - ,New York Giants,11,70,0,0.0,0,0,0,0,"0
"
