 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
DT,Keith,Hooks,6 - 3,293,2,80, - ,Indianapolis,1,2,0,0.5,0,0,0,0,"0
"
OLB,Craig,Davis,6 - 1,221,R,72, - ,Seattle,7,39,0,0.0,0,0,0,0,"0
"
ILB,Richard,Wilson,6 - 2,231,1,80, - ,Jacksonville,3,24,0,0.0,0,0,0,0,"0
"
DE,Blair,Kopay,6 - 3,275,2,84, - ,Atlanta,4,13,0,3.0,0,0,0,0,"0
"
CB,Joshua,Sloan,5 - 11,208,2,78, - ,Jacksonville,3,16,1,0.0,0,0,0,0,"0
"
DE,Joey,Davis,6 - 5,268,1,75, - ,Dallas,2,8,0,2.0,0,0,0,0,"0
"
CB,Keith,Wells,6 - 2,177,R,76, - ,St. Louis,3,7,3,0.0,0,0,0,0,"0
"
CB,Nate,Steed,5 - 11,176,1,69, - ,Baltimore,1,3,1,0.0,0,0,0,0,"0
"
CB,Kadeem,Martin,5 - 9,175,R,78, - ,Cleveland,5,22,3,0.0,0,1,0,0,"0
"
CB,Antonio,Burch,74,188,R,81, - ,Green Bay,2,7,1,0.0,0,0,0,0,"0
"
OLB,Tyrone,Jones,5 - 11,233,1,89, - ,Baltimore,8,71,2,1.0,0,0,0,0,"0
"
DE,Karim,Brown,78,270,R,69, - ,New York Jets,1,3,0,0.5,0,0,0,0,"0
"
OLB,Germane,Dixon,6 - 2,253,2,80, - ,Cincinnati,7,55,0,0.0,0,0,0,0,"0
"
CB,Adam,Harris,6 - 1,183,R,70, - ,New Orleans,1,1,1,0.0,0,0,0,0,"0
"
CB,Jim,Milloy,6 - 1,173,1,79, - ,Oakland,3,14,1,0.0,0,0,0,0,"0
"
DT,Jared,Lee,6 - 5,313,1,78, - ,Minnesota,2,11,0,1.0,0,1,0,0,"0
"
DT,William,Robertson,6 - 3,291,R,75, - ,San Diego,2,8,0,1.0,0,0,0,0,"0
"
ILB,Willard,Arnold,6 - 2,249,1,82, - ,New England,2,15,1,0.0,0,0,0,0,"0
"
CB,Sammy,Muhammad,5 - 10,178,R,80, - ,Baltimore,6,28,3,0.0,0,0,0,2,"0
"
FS,Juan,Hutchinson,5 - 9,170,1,74, - ,New York Jets,1,1,1,0.0,0,0,0,0,"0
"
DE,Grover,Walker,6 - 4,259,R,71, - ,Indianapolis,2,8,0,0.0,0,1,0,0,"0
"
DE,Andrew,Fazande,6 - 4,265,1,84, - ,St. Louis,4,15,0,6.0,0,0,0,0,"0
"
