 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Attempts , Missed , +0 , +20 , +30 , +40 ," +50
"
P,Jermaine,Farmer,6 - 2,175,1,65, - ,Indianapolis,14,8,0,2,2,2,"0
"
K,Skip,Gibson,6 - 0,178,R,81, - ,New Orleans,18,1,0,1,7,9,"0
"
K,Daryl,Holmes,5 - 9,192,R,77, - ,Houston,15,1,0,2,2,10,"0
"
K,Cecil,Jones,6 - 1,213,2,70, - ,New York Giants,12,1,0,1,4,6,"0
"
P,John,Maslowski,5 - 8,203,R,80, - ,New York Jets,2,1,0,0,1,0,"0
"
K,Kent,Evans,5'9,192,1,77, - ,San Diego,9,1,0,0,2,6,"0
"
K,Lew,Roberg,6 - 0,177,R,70, - ,Dallas,10,3,0,0,1,6,"0
"
K,Cliff,Chamblin,6 - 4,191,1,86, - ,St. Louis,16,1,0,1,7,5,"2
"
K,Frank,McFarlane,5 - 1,197,1,73, - ,Denver,7,1,0,0,1,4,"1
"
K,Michael,Turner,5 - 10,187,1,74, - ,Green Bay,15,1,0,0,6,7,"1
"
K,Brent,Hankton,6 - 4,215,1,84, - ,Detriot,12,1,0,2,4,5,"0
"
K,Ben,Morrison,6 - 1,205,2,90, - ,Miami,19,1,0,1,8,9,"0
"
K,Paul,McGowan,5 - 10,189,1,73, - ,San Francisco,10,1,0,2,4,3,"0
"
K,Stephen,Morris,5 - 9,211,2,72, - ,Jacksonville,12,2,0,1,2,7,"0
"
K,Patrick,O'Neil,6 - 1,201,R,68, - ,Seattle,13,1,0,1,6,4,"1
"
K,Nathan,Vazquez,5 - 9,168,R,70, - ,Oakland,14,2,0,3,3,6,"0
"
K,Ryan,Levcik,5 - 9,177,R,80, - ,Minnesota,20,3,0,0,5,10,"2
"
K,Mike,Waters,5 - 9,204,2,67, - ,Atlanta,14,3,0,1,5,5,"0
"
K,Brad,Weathersby,6 - 2,204,1,86, - ,New England,13,1,0,2,4,6,"0
"
K,Paul,Compton,5 - 8,178,R,65, - ,New York Jets,18,6,0,2,5,5,"0
"
K,Myron,Sweeney,76,177,2,64, - ,Carolina,11,0,0,1,4,6,"0
"
K,Jarret,Veals,5 - 10,178,1,84, - ,Tampa Bay,19,1,0,3,6,7,"2
"
K,Vincenzo,Aiola,6 - 1,175,R,67, - ,Cincinnati,12,1,0,0,6,5,"0
"
K,Greg,Duper,6 - 0,171,R,74, - ,Baltimore,13,2,0,1,6,4,"0
"
K,Lloyd,Williams,6 - 2,183,1,71, - ,Cleveland,13,2,0,1,4,6,"0
"
