 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA ," YPG
"
QB,Christopher,Brooks,5 - 11,207,1,76, - ,Jacksonville,1,2,4,50.00,19,0,0,63.54,4.75,"19.00
"
QB,Joshua,Andrews,6 - 1,203,1,79, - ,Seattle,5,41,73,56.16,421,3,3,66.71,5.77,"84.20
"
QB,Darren,Werner,6 - 1,206,2,80, - ,Houston,1,1,3,33.33,6,0,0,42.36,2.00,"6.00
"
QB,Ryan,Clark,6 - 1,187,R,80, - ,Cleveland,1,2,5,40.00,27,1,0,97.50,5.40,"27.00
"
QB,Christian,Skaggs,73,214,2,91, - ,Carolina,12,312,490,63.67,3835,22,6,98.73,7.83,"319.58
"
QB,Harold,Simmons,6 - 1,180,R,80, - ,Houston,12,167,248,67.34,2087,17,4,109.88,8.42,"173.92
"
QB,Gerald,Bright,6 - 3,220,1,79, - ,Detriot,3,69,120,57.50,785,2,1,77.55,6.54,"261.67
"
QB,Bernard,Gbaja - Biamila,6 - 5,224,R,65, - ,Oakland,2,3,6,50.00,8,0,0,51.62,1.33,"4.00
"
QB,Taylor,Heiden,6 - 3,197,R,76, - ,Tampa Bay,5,83,129,64.34,1248,8,2,104.90,9.67,"249.60
"
QB,Richard,Ramos,6 - 0,184,2,75, - ,Houston,1,1,1,100.00,3,0,0,79.17,3.00,"3.00
"
QB,Nick,Hall,6 - 2,221,1,85, - ,Oakland,12,267,432,61.81,3379,26,7,99.44,7.82,"281.58
"
QB,Darrell,Murphy,6 - 2,215,2,90, - ,St. Louis,12,204,298,68.46,2793,23,5,118.29,9.37,"232.75
"
QB,C.J.,Logan,6 - 2,183,R,70, - ,St. Louis,1,3,6,50.00,29,1,0,103.47,4.83,"29.00
"
QB,Todd,Lester,6 - 0,194,R,82, - ,San Francisco,12,155,263,58.94,1942,8,10,76.09,7.38,"161.83
"
QB,Jimmy,Starks,6 - 1,210,R,74, - ,Dallas,1,3,4,75.00,35,0,0,101.04,8.75,"35.00
"
QB,Robert,Price,6 - 4,229,1,80, - ,Denver,4,23,42,54.76,270,1,3,50.89,6.43,"67.50
"
QB,Aaron,Kotar,6 - 6,225,1,84, - ,New York Giants,1,3,3,100.00,25,1,0,140.97,8.33,"25.00
"
QB,Brett,Bowlin,5 - 11,205,R,76, - ,Detriot,9,187,341,54.84,2061,8,7,71.36,6.04,"229.00
"
QB,Jason,Johnson,5 - 11,190,2,88, - ,Green Bay,12,200,307,65.15,2597,11,2,102.66,8.46,"216.42
"
QB,Javier,Fields,6 - 0,195,1,83, - ,Atlanta,12,149,234,63.68,1944,15,6,101.18,8.31,"162.00
"
QB,Alex,Bridgewater,6 - 0,182,1,82, - ,Tampa Bay,8,84,146,57.53,1249,6,3,91.70,8.55,"156.12
"
QB,Bobby,Viger,6 - 1,204,1,62, - ,Green Bay,1,3,6,50.00,45,1,0,114.58,7.50,"45.00
"
QB,John,Jones,6 - 1,199,1,76, - ,Green Bay,1,10,15,66.67,104,1,2,69.17,6.93,"104.00
"
QB,Rob,LeCount,6 - 3,212,1,81, - ,New England,12,257,418,61.48,3208,16,5,93.69,7.67,"267.33
"
QB,Thomas,Wheeler,6 - 1,208,1,86, - ,New York Giants,12,213,321,66.36,2690,20,5,105.56,8.38,"224.17
"
QB,Alexander,Williams,6 - 0,187,2,85, - ,Cleveland,12,181,272,66.54,2558,16,9,101.41,9.40,"213.17
"
QB,Kamau,Davis,6 - 2,218,1,83, - ,Dallas,12,112,180,62.22,1576,16,4,114.70,8.76,"131.33
"
QB,Brian,Brown,6 - 4,228,1,91, - ,Miami,12,249,392,63.52,3108,23,3,104.50,7.93,"259.00
"
QB,Aaron,Devereaux,6 - 6,204,R,82, - ,New Orleans,12,171,259,66.02,2137,15,11,92.46,8.25,"178.08
"
QB,Darren,Werner,6 - 1,206,2,80, - ,Seattle,7,119,181,65.75,1609,9,4,102.00,8.89,"229.86
"
QB,Brian,Vardell,6 - 2,200,2,89, - ,Minnesota,12,210,318,66.04,2952,19,5,109.26,9.28,"246.00
"
QB,Reggie,Watkins,6 - 4,200,2,80, - ,Baltimore,12,180,279,64.52,2407,20,2,113.35,8.63,"200.58
"
QB,Onterrio,Smith,6 - 1,180,2,77, - ,New York Jets,1,1,4,25.00,6,0,0,39.58,1.50,"6.00
"
QB,Allan,Taylor,6 - 0,202,2,90, - ,Jacksonville,12,172,250,68.80,2296,13,2,110.23,9.18,"191.33
"
QB,Kareem,Taylor,6 - 2,202,2,85, - ,New Orleans,1,3,3,100.00,45,0,0,118.75,15.00,"45.00
"
