 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Catches , Yards , TDs , YPC ," YPG
"
RB,Frank,Bortz,68,202,R,65, - ,San Diego,1,2,24,1,12.00,"24.00
"
WR,Billy,Rodgers,6 - 1,164,R,80, - ,Houston,11,37,656,2,17.73,"59.64
"
WR,Brandon,Burks,6 - 5,178,1,66, - ,San Diego,2,6,64,2,10.67,"32.00
"
WR,Curley,Rivera,5 - 10,174,1,70, - ,New England,1,3,44,1,14.67,"44.00
"
RB,Ed,Latta,5 - 9,188,1,81, - ,Jacksonville,1,3,34,1,11.33,"34.00
"
WR,Terry,Jones,75,196,R,65, - ,Green Bay,1,1,22,0,22.00,"22.00
"
TE,Larry,Turner,6 - 3,235,1,75, - ,Minnesota,1,2,39,0,19.50,"39.00
"
WR,Austin,Medina,5 - 11,192,1,81, - ,New York Jets,5,8,150,2,18.75,"30.00
"
TE,Nathan,Taylor,6 - 3,232,R,76, - ,Tampa Bay,7,19,301,3,15.84,"43.00
"
WR,Carlos,Perez,6 - 5,169,R,73, - ,Seattle,8,19,256,3,13.47,"32.00
"
TE,Jake,Schmidt,6 - 6,235,R,77, - ,Denver,5,9,106,2,11.78,"21.20
"
TE,Danny,Patrick,6 - 5,223,R,82, - ,Baltimore,5,11,157,4,14.27,"31.40
"
TE,Bob,Branch,78,239,2,69, - ,Carolina,8,58,692,8,11.93,"86.50
"
WR,Rodney,Montgomery,6 - 0,185,1,85, - ,Miami,12,70,1048,3,14.97,"87.33
"
WR,Terry,Cross,74,173,R,69, - ,Jacksonville,2,5,63,0,12.60,"31.50
"
WR,Drew,Jackson,78,177,R,69, - ,Minnesota,6,22,323,3,14.68,"53.83
"
WR,Marvin,White,6 - 4,184,R,78, - ,Oakland,10,46,655,3,14.24,"65.50
"
RB,Lionel,Dickinson,6 - 0,194,R,76, - ,St. Louis,1,2,20,1,10.00,"20.00
"
WR,Frank,Weiss,6 - 4,173,R,74, - ,New York Giants,8,23,318,3,13.83,"39.75
"
TE,Charlie,Wilson,6 - 7,247,1,80, - ,New York Jets,7,22,256,2,11.64,"36.57
"
WR,Riddick,Smith,6 - 0,185,2,84, - ,Atlanta,6,21,313,4,14.90,"52.17
"
TE,Walter,Lane,6 - 3,233,R,68, - ,Seattle,2,4,42,2,10.50,"21.00
"
