 Team , Pass Yards , Rush Yards , Off. TDs , Def. TDs , Safeties , INTs , FF , FR , Fumbles, Pass Yards Against , Rush Yards Against , Off. TDs Against , Def. TDs Against , Safeties Against ," INTs Against
"
San Diego State,2772,1395,30,3,0,11,0,0,0,2222,1207,27,1,0,"4
"
Michigan State,2845,1094,31,0,0,17,2,3,3,2200,1294,21,1,0,"3
"
Wyoming,2029,980,18,1,0,4,0,0,0,2802,1428,41,2,0,"10
"
Minnesota,2675,1195,31,1,0,6,1,1,0,1897,1443,20,0,0,"6
"
Georgia State,2696,912,27,0,0,2,0,0,1,2837,1461,44,3,0,"10
"
Illinois,1168,1626,19,0,0,4,1,1,2,2634,1332,37,2,0,"6
"
Toledo,2020,807,23,1,0,4,1,1,0,1956,1268,30,1,0,"7
"
Indiana,1267,1165,18,2,0,2,1,1,2,2750,1406,39,5,1,"10
"
San Jose State,3052,636,20,0,0,3,0,0,0,3061,1041,35,2,0,"9
"
Texas,3767,991,42,3,1,20,0,0,0,2102,946,11,0,0,"5
"
Central Michigan,1733,962,18,1,0,4,0,0,0,2603,1289,33,6,0,"10
"
Tulsa,3398,787,28,2,0,6,0,0,0,1958,1230,27,0,0,"7
"
Kansas,2915,1065,30,0,0,6,0,0,0,2479,1104,26,1,1,"8
"
Florida State,3795,347,37,0,0,6,0,0,1,2703,1410,40,1,0,"11
"
Connecticut,2881,1436,36,2,0,3,3,3,0,1903,1407,23,0,0,"5
"
Utah State,2226,584,14,0,0,4,0,0,1,2722,1499,53,3,0,"14
"
West Virginia,2769,940,34,2,0,11,0,0,0,2590,1161,29,1,0,"5
"
Oklahoma,2416,1351,27,1,0,6,0,0,0,1759,1257,22,0,0,"10
"
Tulane,2499,1406,32,1,0,6,0,0,1,2783,1101,38,1,0,"6
"
Ole Miss,1629,1397,17,0,0,4,0,0,0,2238,1171,24,1,1,"5
"
BYU,2629,1103,23,3,0,9,0,0,1,2436,1188,26,0,0,"3
"
Ohio State,2704,965,32,2,0,4,1,1,0,2107,1275,26,1,1,"9
"
Kent State,497,1550,18,2,0,4,1,1,1,1570,1159,21,0,0,"2
"
Clemson,2888,818,32,0,0,7,0,1,1,2650,1103,27,4,0,"14
"
Cincinnati,1847,702,17,1,0,2,1,1,0,2540,1136,32,3,0,"10
"
Wake Forest,2333,2248,31,3,0,9,0,0,0,2718,1022,31,2,0,"4
"
Missouri,3589,1028,48,0,0,10,0,0,0,2644,959,29,0,0,"4
"
Washington,4156,712,40,1,0,8,0,0,0,2416,1114,21,1,0,"6
"
Army,2713,1256,31,0,0,5,1,1,1,2485,1443,31,1,0,"8
"
Air Force,859,2203,33,0,0,7,0,0,1,2376,972,28,0,0,"1
"
