 Position , Forename , Surname , Height , Weight , Standing , Skill , Potential , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
QB,Byron,Harper,6 - 3,225,Sr,4.5,4.5,Utah,12,75,441,6,0,0,5.88,"36.75
"
RB,Calvin,Jones,6 - 4,208,(Jr),4.0,4.0,Georgia Tech,12,242,1219,12,0,5,5.04,"101.58
"
RB,Gil,Novacek,5 - 11,188,Sr,4.5,4.5,Arizona,12,206,1051,13,0,3,5.10,"87.58
"
RB,Brian,Schlichter,5 - 11,206,(Jr),4.0,4.5,Colorado,12,230,1095,12,0,5,4.76,"91.25
"
RB,Dean,Herron,6 - 0,208,Fr,1.0,3.5,Ball State,1,4,21,0,0,0,5.25,"21.00
"
RB,Rodrigo,Rogers,5 - 11,204,(So),4.0,4.0,Pittsburgh,12,167,698,8,0,0,4.18,"58.17
"
WR,Patrick,Rollins,5 - 9,180,Fr,2.5,3.5,Indiana,3,10,127,3,0,0,12.70,"42.33
"
RB,Dwayne,Minor,5 - 11,170,So,1.5,3.0,Florida State,7,29,85,2,0,0,2.93,"12.14
"
RB,Isaac,Wilson,6 - 0,210,(Fr),2.0,4.5,Georgia,2,15,146,1,0,1,9.73,"73.00
"
FB,Dominick,Roche,6 - 1,213,Fr,2.0,3.5,Toledo,3,33,148,3,0,0,4.48,"49.33
"
RB,Jerome,Shafer,5 - 8,225,Jr,3.0,3.5,Virginia,12,175,756,6,0,0,4.32,"63.00
"
RB,Jalen,Clayton,5 - 8,208,(Fr),3.0,4.0,Kansas,12,227,1065,9,0,2,4.69,"88.75
"
RB,Joe,Harmon,5 - 11,191,Sr,3.0,3.0,USF,1,4,6,0,0,0,1.50,"6.00
"
QB,Lawrence,Pritchett,6 - 0,187,Jr,4.5,5.0,Tulane,10,72,395,9,1,0,5.49,"39.50
"
QB,Parker,Atkinson,6 - 0,230,So,1.5,2.5,Hawaii,1,3, - 2,0,0,0, - 0.67," - 2.00
"
FB,Owen,Durham,6 - 0,220,So,3.5,3.5,Florida,4,69,280,2,0,0,4.06,"70.00
"
RB,Ian,Rivas - Bravo,6 - 0,192,(Fr),2.0,3.5,Texas Tech,1,3,9,0,0,0,3.00,"9.00
"
QB,Darren,Carroll,5 - 11,212,(Jr),3.5,3.5,Boise State,11,69,286,5,0,0,4.14,"26.00
"
QB,Julius,Thomas,6 - 3,212,(So),4.0,4.5,Tennessee,12,71,305,7,0,0,4.30,"25.42
"
QB,Jaden,Hambrick,6 - 0,226,(Sr),4.0,4.0,Maryland,12,82,670,12,1,1,8.17,"55.83
"
RB,Walter,Harris,5 - 11,168,(Sr),4.0,4.0,Oregon State,12,283,1461,17,0,11,5.16,"121.75
"
RB,William,Banks,5 - 9,178,(So),2.0,3.0,Bowling Green,11,222,868,9,0,3,3.91,"78.91
"
RB,Ethan,Blake,6 - 0,193,(Sr),3.5,3.5,Texas A&M,12,119,467,0,0,0,3.92,"38.92
"
RB,Kwendi,Nkwenti,6 - 0,219,Sr,4.0,4.0,Rice,12,280,1310,13,1,7,4.68,"109.17
"
RB,Jake,Bell,6 - 0,172,(Sr),3.5,3.5,Boston College,3,27,111,1,0,0,4.11,"37.00
"
RB,Bryan,Browning,5 - 8,185,(Sr),4.0,4.0,Kentucky,12,207,1107,12,0,6,5.35,"92.25
"
RB,Adrian,Robinson,5 - 11,203,Sr,4.5,4.5,Houston,12,238,1291,14,0,6,5.42,"107.58
"
RB,Grady,Mitchell,6 - 1,231,(Jr),4.5,4.5,Boise State,12,298,1778,28,0,11,5.97,"148.17
"
RB,Tom,Lopez,5 - 8,185,(Jr),2.0,2.5,Memphis,7,147,446,3,0,0,3.03,"63.71
"
