 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Attempts , Missed , FG PCT , +0 , +20 , +30 , +40 ," +50
"
K,Dennis,Scott,6 - 1,206,R,81,BAL,17,0,100,0,0,7,9,"1
"
K,Ryan,Levcik,5 - 9,177,1,86,MIN,8,0,100,0,0,2,5,"1
"
K,Skip,Gibson,6 - 0,178,1,88,NO,15,1,93.33,0,0,7,6,"1
"
K,Cliff,Chamblin,6 - 4,191,2,91,STL,4,0,100,0,0,1,3,"0
"
K,Eric,Anderson,5 - 8,193,R,66,IND,10,1,90,0,4,4,1,"0
"
K,Ben,Morrison,6 - 1,205,3,96,MIA,13,1,92.31,0,1,4,7,"0
"
K,Chris,Hoag,6 - 2,184,R,82,NYJ,9,0,100,0,0,3,5,"1
"
K,Ronald,Daniel,5 - 8,184,R,80,HOU,10,2,80,0,1,5,2,"0
"
K,Nathan,Vazquez,5 - 9,168,1,73,OAK,6,0,100,0,0,3,3,"0
"
K,Daryl,Holmes,5 - 9,192,1,82,KC,4,0,100,0,0,1,3,"0
"
K,Frank,McFarlane,5 - 1,197,2,72,DEN,8,2,75,0,0,4,2,"0
"
K,Leon,Woodruff,5 - 8,169,R,79,TEN,8,2,75,0,0,3,3,"0
"
K,Lloyd,Williams,6 - 2,183,2,74,CLE,8,2,75,0,2,2,2,"0
"
K,Lew,Roberg,6 - 0,177,1,73,DAL,13,1,92.31,0,0,4,8,"0
"
K,Stanley,Brewster,6 - 1,204,R,82,NYG,6,1,83.33,0,0,3,2,"0
"
K,Wilson,Mitchell,6 - 1,196,R,66,PHI,10,2,80,0,3,3,2,"0
"
K,Paul,McGowan,5 - 10,189,2,75,SF,17,1,94.12,0,1,11,4,"0
"
K,Michael,Turner,5 - 10,187,2,79,PIT,11,1,90.91,0,0,7,3,"0
"
K,Brent,Hankton,6 - 4,215,2,88,DET,13,0,100,0,0,5,8,"0
"
K,Bryan,Ray,5 - 9,178,R,73,WAS,13,2,84.62,0,0,5,6,"0
"
K,Vincenzo,Aiola,6 - 1,175,1,70,CIN,11,3,72.73,0,3,2,3,"0
"
K,Gino,Chiaverini,6 - 3,206,R,82,ATL,5,1,80,0,1,2,1,"0
"
K,Patrick,O'Neil,6 - 1,201,1,72,SEA,11,2,81.82,0,1,5,3,"0
"
K,Brian,Evans,5 - 9,175,R,80,GB,13,0,100,0,2,6,5,"0
"
K,Willie,Gaffney,6 - 1,183,R,80,CAR,15,1,93.33,0,2,10,2,"0
"
K,Brad,Weathersby,6 - 2,204,2,88,NE,6,0,100,0,0,1,5,"0
"
K,Kent,Evans,5 - 9,192,2,80,SD,8,2,75,0,2,3,1,"0
"
K,Darryl,Lemus,5 - 10,181,R,77,ARI,8,0,100,0,1,2,5,"0
"
K,Ken,Hodel,6 - 4,202,3,70,CHI,6,0,100,1,2,3,0,"0
"
K,Jarret,Veals,5 - 10,178,2,90,TB,15,0,100,0,3,3,8,"1
"
K,Stephen,Morris,5 - 9,211,3,74,JAX,9,0,100,0,2,5,2,"0
"
