 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Completions , Attempts , Completion PCT , Yards , TDs , INTs , QB Rating , YPA , YPG , TD PCT ," INT PCT
"
QB,Mike,Thomas,6 - 3,230,R,76,NO,1,3,5,60,47,1,0,130.83,9.4,47,20,"0
"
QB,Erik,Wegert,6 - 4,218,1,88,NYJ,15,224,361,62.05,2853,21,10,94.57,7.9,190.2,5.82,"2.77
"
QB,Donald,Caldwell,6 - 3,233,R,77,BAL,3,28,56,50,315,1,2,58.3,5.63,105,1.79,"3.57
"
QB,Darrell,Murphy,6 - 2,215,3,96,STL,15,345,529,65.22,4260,33,7,105.28,8.05,284,6.24,"1.32
"
QB,Sam,Armour,6 - 4,206,2,81,ARI,1,3,6,50,37,1,0,109.04,6.17,37,16.67,"0
"
QB,Ken,Eller,6 - 4,200,R,74,PHI,16,258,411,62.77,3095,21,11,91.63,7.53,193.44,5.11,"2.68
"
QB,Joshua,Andrews,6 - 1,203,2,78,SEA,1,3,5,60,19,0,0,67.92,3.8,19,0,"0
"
QB,Bobby,Viger,6 - 1,204,2,66,NYJ,1,8,17,47.06,88,0,0,62.88,5.18,88,0,"0
"
QB,Nick,Hall,6 - 2,221,2,92,OAK,16,450,728,61.81,5163,41,9,96.73,7.09,322.69,5.63,"1.24
"
QB,Lawyer,Johnson,6 - 0,194,R,80,NE,16,291,502,57.97,3470,19,14,80.16,6.91,216.88,3.78,"2.79
"
QB,James,Dale,6 - 2,213,R,80,WAS,1,5,5,100,49,0,0,107.5,9.8,49,0,"0
"
QB,Erasmus,McCready,6 - 2,225,R,81,BUF,16,193,325,59.38,2631,13,5,92.23,8.1,164.44,4,"1.54
"
QB,Jimmy,Starks,6 - 1,210,1,74,DAL,6,66,111,59.46,958,10,9,83.83,8.63,159.67,9.01,"8.11
"
QB,Brian,Vardell,6 - 2,200,3,97,MIN,16,295,438,67.35,3887,23,7,106,8.87,242.94,5.25,"1.6
"
QB,Norris,Brooksheer,6 - 3,207,R,8,CHI,16,297,500,59.4,3651,18,11,84.83,7.3,228.19,3.6,"2.2
"
QB,Javier,Fields,6 - 0,195,2,85,WAS,16,339,522,64.94,4378,30,12,100.74,8.39,273.63,5.75,"2.3
"
QB,Jarius,Jones,6 - 1,205,R,83,ARI,16,280,447,62.64,3568,22,10,94.6,7.98,223,4.92,"2.24
"
QB,Aaron,Kotar,6 - 6,225,2,84,NYG,7,54,95,56.84,816,3,5,73.86,8.59,116.57,3.16,"5.26
"
QB,Derek,Keys,6 - 1,195,2,76,CLE,5,70,117,59.83,881,8,3,95.45,7.53,176.2,6.84,"2.56
"
QB,Jeffrey,Powers,6 - 0,199,R,68,NYJ,2,18,43,41.86,186,2,2,51.13,4.33,93,4.65,"4.65
"
QB,Ryan,Clark,6 - 1,187,1,82,CLE,12,166,269,61.71,2181,11,5,93.18,8.11,181.75,4.09,"1.86
"
QB,Rob,Corp,6 - 3,203,R,71,PIT,6,72,115,62.61,995,10,3,108.43,8.65,165.83,8.7,"2.61
"
QB,Blake,Shell,6 - 5,194,2,89,CIN,16,355,604,58.77,3913,27,13,84,6.48,244.56,4.47,"2.15
"
QB,Allan,Taylor,6 - 0,202,3,96,JAX,16,274,421,65.08,3682,24,7,104.86,8.75,230.13,5.7,"1.66
"
QB,Kareem,Taylor,6 - 2,202,3,89,TEN,16,290,442,65.61,3817,26,9,103.86,8.64,238.56,5.88,"2.04
"
QB,Will,Thompson,6 - 3,191,3,85,SD,16,282,441,63.95,3735,25,8,102.03,8.47,233.44,5.67,"1.81
"
QB,A.J.,Jefferson,6 - 3,194,R,82,ATL,16,228,376,60.64,3242,20,15,89.64,8.62,202.63,5.32,"3.99
"
QB,Christian,Skaggs,6 - 1,214,3,99,CAR,16,307,436,70.41,4385,28,4,120.24,10.06,274.06,6.42,"0.92
"
QB,Jason,Johnson,5 - 11,190,3,92,GB,16,305,464,65.73,4018,29,9,105.69,8.66,251.13,6.25,"1.94
"
QB,Glen,Spencer,6 - 1,170,R,79,MIA,2,29,48,60.42,282,3,1,89.1,5.88,141,6.25,"2.08
"
