 Position , Forename , Surname , Height , Weight , Year , Attribute , Skill , Potential , Team , Games , Completions , Attempts , Completion Ratio , Yards , TD , INT 
QB,Cooper,Abrams,74,206,2018,Scrambling,3.0,3.0,Duke,12,181,292,0.62,2368,13,7,8.11,140.00
"
",QB,Alfredo,Adams,75,Nevada,Sr,Scrambling,3.0,3.0,2018,12,179,276,0.65,2464,19,7,8.93
157.49,"
",QB,Cody,Albright,4.5,237,Jr,Pocket,4.0,Ohio State,2018,12,250,365,0.68,3432,27,11
9.40,165.86,"
",QB,Michael,3.0,76,225,(Jr),Scrambling,3.0,Nebraska,2018,1,2,6,0.33,16,0
0,2.67,55.73,"
",QB,Scrambling,Allen - Hollis,73,204,(Fr),3.0,4.0,LSU,2018,12,240,395,0.61,2897
21,10,7.33,134.85,"
",Sr,Jeremy,Anderson,75,185,Pocket,4.0,4.0,Northwestern,2018,12,267,448,0.60
3618,23,10,8.08,139.91,235,QB,Jamel,Armstrong,73,Fr,Pocket,2.5,4.5,Clemson,2018,12,208,359
0.58,2597,16,8,7.23,76,"
",QB,Lachlan,Ash,200,(So),Scrambling,2.5,3.0,North Carolina,2018,1,7
19,0.37,58,0,1,Atkinson,51.96,"
",QB,James,77,211,(Fr),Pocket,1.0,2.5,Western Kentucky,2018,12
259,546,0.47,2604,15,Jamie,4.77,88.14,"
",QB,Avery,73,219,(Sr),Pocket,3.5,3.5,Georgia Tech,2018
12,198,331,0.60,2471,QB,9,7.47,130.05,"
",Howard,Baker,73,203,(Jr),Pocket,2.5,2.5,Utah State
2018,3,53,96,0.55,"
",3,3,6.38,112.82,QB,James,Ballard,73,204,(So),Pocket,2.5,3.5
USF,2018,1,7,12,199.93,163,1,0,13.58,"
",QB,Christian,Barkley,75,211,(Sr),Pocket,5.0
5.0,Texas Tech,2018,12,274,9.71,0.68,3914,34,3,175.92,"
",QB,D.K.,Bates,73,209,Jr,Scrambling
3.0,4.0,Notre Dame,2018,12,8,299,0.60,2370,15,7.93,137.65,"
",QB,Jason,Baum,73,230,Fr
Scrambling,3.0,4.0,Oregon,2018,15,197,346,0.57,2309,12,6.67,120.36,"
",QB,Lukas,Bean,73,215
Fr,Pocket,1.5,3.0,Hawaii,152,1,8,19,0.42,1,0,8.00,126.67,"
",QB,Mamadou,Bellamy,72
218,Fr,Scrambling,2.0,4.0,0.55,2018,6,81,146,897,2,2,6.14,108.87,"
",QB,Mikeal,Black
71,189,(Fr),Scrambling,2.0,13,Iowa,2018,1,8,0.62,140,1,0,10.77,177.38,"
",QB,John
Bolton,74,190,(Sr),Pocket,239,4.0,Tulsa,2018,12,370,0.65,3142,17,6,8.49,147.85,"
",QB
A.J.,Bowden,73,205,(Sr),12,4.5,4.5,Kentucky,2018,334,542,0.62,4001,27,13,7.38,135.27,"
"
QB,Tanner,Bowman,74,203,2018,Pocket,3.5,5.0,Penn State,12,250,419,0.60,3497,20,11,8.35,140.27
"
",QB,Micah,Browning,74,Charlotte,(Fr),Pocket,1.0,2.5,2018,12,158,343,0.46,1729,9,12,5.04
90.07,"
",QB,Nathan,Burden,4.0,201,Jr,Pocket,4.0,TCU,2018,12,263,435,0.60,3099,21,11
7.12,131.18,"
",QB,Lukas,1.5,71,228,(Fr),Pocket,3.5,Oklahoma State,2018,6,105,212,0.50,1133,6
14,5.34,90.55,"
",QB,Pocket,Burnett,75,211,So,4.0,5.0,Oklahoma,2018,12,198,301,0.66,2758
17,8,9.16,156.07,"
",(Sr),Darren,Carroll,71,212,Scrambling,3.5,3.5,Boise State,2018,11,155,235,0.66
2520,19,6,10.72,177.61,236,QB,Elias,Carter,75,(Fr),Scrambling,1.5,3.5,Ball State,2018,3,26,62
0.42,353,3,3,5.69,75,"
",QB,Liam,Carver,207,(Fr),Scrambling,2.0,4.0,ECU,2018,12,164
284,0.58,1964,15,7,Causey,128.34,"
",QB,Marquis,70,229,Fr,Pocket,1.5,3.5,Ball State,2018,5
67,120,0.56,873,6,Christian,7.28,125.11,"
",QB,Coates,75,210,(Fr),Scrambling,1.5,4.0,Kentucky,2018
1,1,5,0.20,4,QB,0,0.80,26.72,"
",Larry,Combs,76,196,Jr,Pocket,2.5,3.5,FAU
2018,12,320,628,0.51,"
",10,18,4.47,88.01,QB,Milo,Condon,73,185,(Fr),Scrambling,2.0,4.0
South Carolina,2018,12,210,413,99.02,2404,10,18,5.82,"
",QB,Charles,Conley,73,201,Sr,Scrambling,3.0
3.0,Buffalo,2018,12,176,7.67,0.59,2285,10,4,131.86,"
",QB,Eddie,Connelly,72,207,Fr,Scrambling
2.5,4.0,Bowling Green,2018,12,13,368,0.57,2474,12,6.72,117.23,"
",QB,Sean,Connor,76,204,(Jr)
Scrambling,3.0,3.0,Penn State,2018,2,7,12,0.58,115,0,9.58,193.83,"
",QB,Devin,Conroy,70,218
(So),Pocket,3.5,5.0,Colorado State,4608,12,362,604,0.60,31,10,7.63,137.64,"
",QB,Kevin,Cooke,75
172,(Jr),Scrambling,2.5,2.5,0.77,2018,2,10,13,127,1,0,9.77,184.37,"
",QB,Gabe,Cooper
70,198,(Fr),Pocket,2.5,17,Michigan,2018,2,12,0.71,232,2,0,13.65,224.05,"
",QB,Willy
Cowan,70,224,Jr,Pocket,7,3.5,ECU,2018,1,9,0.78,154,2,0,17.11,294.84,"
",QB
August,Crain,72,206,Fr,1,1.0,2.0,Kansas State,2018,1,5,0.20,6,0,1,1.20, - 9.92,"
"
QB,Henry,Crain,75,203,2018,Scrambling,3.0,4.5,Arizona,12,197,349,0.56,2571,15,5,7.37,129.65
"
",QB,Donald,Culver,73,Utah,(Fr),Pocket,2.0,5.0,2018,12,313,560,0.56,3533,18,11,6.31
115.57,"
",QB,Eli,Damico - Slack,2.5,196,(So),Scrambling,2.5,Northwestern,2018,1,1,5,0.20,8,0,0
1.60,33.44,"
",QB,Kyle,3.0,78,230,Fr,Pocket,5.0,Michigan State,2018,12,212,356,0.60,2687,14
6,7.55,132.56,"
",QB,Pocket,Davis,75,222,(Sr),4.5,4.5,Northern Illinois,2018,12,241,396,0.61,3071
20,11,7.76,137.11,"
",(Sr),Brad,Davis,71,205,Pocket,5.0,5.0,Texas,2018,12,374,578,0.65
4665,34,11,8.07,148.11,172,QB,Matthew,Davis,76,(Jr),Scrambling,2.0,2.5,Central Michigan,2018,1,4,9
0.44,42,0,1,4.67,73,"
",QB,Matthew,Dobbs,213,(Jr),Scrambling,4.5,4.5,Virginia Tech,2018,12,285
463,0.62,3571,25,10,Douglas,139.84,"
",QB,Randy,74,215,Sr,Scrambling,3.0,3.0,USC,2018,1
4,6,0.67,74,1,Tucker,12.33,225.27,"
",QB,Dowden,75,211,(Fr),Scrambling,2.0,5.0,Missouri,2018
12,203,347,0.59,2640,QB,12,7.61,131.66,"
",Jacob,Dunham,74,193,(So),Pocket,3.0,3.0,Cincinnati
2018,12,104,178,0.58,"
",6,12,7.21,116.66,QB,Tom,Dupree,74,202,Sr,Pocket,3.5,3.5
Michigan,2018,1,3,5,96.96,22,0,0,4.40,"
",QB,David,Easley,74,181,(Jr),Pocket,3.0
3.0,Wyoming,2018,10,148,6.53,0.54,1789,8,8,112.66,"
",QB,Adrian,Ellis,73,206,So,Pocket
2.0,3.0,Georgia,2018,1,0,9,0.67,80,0,8.89,141.33,"
",QB,Brett,Fisher,74,211,(Jr)
