 Position , Forename , Surname , Height , Weight , Year , Attribute , Skill 
FB,David,Campbell,73,228,2018,Power,4.0,4.0,Boston College,2,5,14,2,2.80
"
",FB,Evan,Edmonds,68,Nevada,So,Power,2.0,2.0,2018,1,2,4,1
2.00,"
",FB,Gabriel,Fields,4.0,226,Jr,Speed,3.0,UCF,2018,1,3,4
1,1.33,"
",FB,Timothy,4.0,72,211,(Jr),Speed,4.0,Wisconsin,2018,1,3
5,1,1.67,"
",FB,Power,Hagen,71,210,Sr,3.0,3.0,UNLV,2018,6
174,718,4,4.13,"
",Sr,Jared,Hancock,68,237,Power,3.5,3.5,Michigan,2018
1,3,0,1,0.00,254,FB,John,Hernandez,74,(Jr),Power,3.5,4.5,Kentucky
2018,9,118,326,4,69,"
",FB,Ali,Hester,243,So,Speed,3.0,4.5
Illinois,2018,1,3,12,Hoke,4.00,"
",FB,Brad,72,248,Sr,Power,4.0
4.0,California,2018,1,2,Anthony,1,1.50,"
",FB,Langley,73,219,(Fr),Speed
3.0,4.0,Georgia Tech,2018,1,FB,6,1,2.00,"
",Ricky,Lewis,71,208,(Jr)
Power,4.0,4.0,Temple,2018,"
",271,1364,16,5.03,FB,Andrew,Lilly,70,202
So,Speed,3.5,5.0,San Diego State,4.66,6,151,704,7,"
",FB,Mark,Macleod,73
221,Sr,Power,4.5,4.5,16,2018,12,268,1312,4.90,"
",FB,Fredrick,Marshall
74,174,(Jr),Speed,5.0,405,TCU,2018,5,103,5,3.93,"
",FB,Harrison
Mullin,69,254,Fr,Power,123,3.0,Kent State,2018,5,494,7,4.02,"
",FB
Richard,Reynolds,71,232,So,4,1.5,3.5,Southern Miss,2018,67,196,1,2.93,"
"
FB,Ryan,Roach,68,251,2018,Speed,4.0,4.5,TCU,1,18,33,0,1.83
"
",FB,Jose,Schmidt,74,California,(Jr),Speed,4.0,4.0,2018,12,305,1203,8
3.94,"
",FB,Dylan,Stewart,5.0,227,Sr,Power,5.0,Kansas State,2018,10,275,1215
6,4.42,"
",FB,Kamari,1.0,72,247,Fr,Power,5.0,San Jose State,2018,5,50
169,1,3.38,"
",FB,Power,Tuitama,73,240,(So),3.5,5.0,ECU,2018,12
302,1416,13,4.69,"
",Fr,Cooper,Abrams,74,206,Scrambling,3.0,3.0,Duke,2018
11,58,284,2,4.90,184,QB,Alfredo,Adams,75,Sr,Scrambling,3.0,3.0,Nevada
2018,10,53,266,2,76,"
",QB,Michael,Allen,225,(Jr),Scrambling,3.0,3.0
Nebraska,2018,1,1,5,Allen - Hollis,5.00,"
",QB,Elias,73,204,(Fr),Scrambling,3.0
4.0,LSU,2018,9,46,Lachlan,0,4.61,"
",QB,Ash,76,200,(So),Scrambling
2.5,3.0,North Carolina,2018,1,QB,31,1,5.17,"
",D.K.,Bates,73,209,Jr
Scrambling,3.0,4.0,Notre Dame,2018,"
",59,227,2,3.85,QB,Jason,Baum,73,230
Fr,Scrambling,3.0,4.0,Oregon,5.36,12,74,397,4,"
",QB,Mamadou,Bellamy,72
218,Fr,Scrambling,2.0,4.0,0,2018,6,36,153,4.25,"
",QB,A.J.,Bowden
73,205,(Sr),Pocket,4.5, - 20,Kentucky,2018,1,3,0, - 6.67,"
",QB,Micah
Browning,74,215,(Fr),Pocket,25,2.5,Charlotte,2018,4,90,0,3.60,"
",QB
Nathan,Burden,74,201,Jr,1,4.0,4.0,TCU,2018,2,4,1,2.00,"
"
QB,Darren,Carroll,71,212,2018,Scrambling,3.5,3.5,Boise State,9,54,371,4,6.87
"
",QB,Elias,Carter,75,Ball State,(Fr),Scrambling,1.5,3.5,2018,3,14,3,0
0.21,"
",QB,Liam,Carver,4.0,207,(Fr),Scrambling,2.0,ECU,2018,10,58,280
1,4.83,"
",QB,Christian,1.5,75,210,(Fr),Scrambling,4.0,Kentucky,2018,1,3
25,1,8.33,"
",QB,Pocket,Combs,76,196,Jr,2.5,3.5,FAU,2018,1
2, - 5,0, - 2.50,"
",(Fr),Milo,Condon,73,185,Scrambling,2.0,4.0,South Carolina,2018
8,37,159,1,4.30,201,QB,Charles,Conley,73,Sr,Scrambling,3.0,3.0,Buffalo
2018,10,61,219,2,72,"
",QB,Eddie,Connelly,207,Fr,Scrambling,2.5,4.0
Bowling Green,2018,11,64,276,Cooke,4.31,"
",QB,Kevin,75,172,(Jr),Scrambling,2.5
2.5,Marshall,2018,1,5,August,0,0.60,"
",QB,Crain,72,206,Fr,Scrambling
1.0,2.0,Kansas State,2018,1,QB,2,0,2.00,"
",Henry,Crain,75,203,Jr
Scrambling,3.0,4.5,Arizona,2018,"
",61,279,3,4.57,QB,Eli,Damico - Slack,75,196
(So),Scrambling,2.5,2.5,Northwestern,4.00,1,1,4,0,"
",QB,Matthew,Davis,76
172,(Jr),Scrambling,2.0,2.5,1,2018,1,3,40,13.33,"
",QB,Matthew,Dobbs
73,213,(Jr),Scrambling,4.5,132,Virginia Tech,2018,10,46,1,2.87,"
",QB,Randy
Douglas,74,215,Sr,Scrambling,3,3.0,USC,2018,1,9,0,3.00,"
",QB
Tucker,Dowden,75,211,(Fr),12,2.0,5.0,Missouri,2018,78,500,2,6.41,"
"
QB,Brett,Fisher,74,211,2018,Scrambling,5.0,5.0,Miami (FL),12,79,548,4,6.94
"
",QB,Mohammed,Foster,72,West Virginia,Fr,Scrambling,3.0,5.0,2018,12,78,541,5
6.94,"
",QB,Blake,Fry,3.5,225,So,Scrambling,2.0,NC State,2018,4,18,52
1,2.89,"
",QB,John,3.0,72,218,Fr,Scrambling,3.5,Kent State,2018,10,57
344,5,6.04,"
",QB,Scrambling,Goetz,76,208,(So),2.5,3.5,Duke,2018,1
1,3,0,3.00,"
",(Fr),Brayden,Gruber,76,193,Scrambling,2.5,3.5,Western Michigan,2018
10,50,195,3,3.90,200,QB,Daniel,Gruber,73,(Sr),Pocket,2.5,2.5,NC State
2018,2,7, - 17,0,75,"
",QB,Avery,Hein,206,(Fr),Scrambling,2.0,3.5
Wyoming,2018,3,14,15,Higgins,1.07,"
",QB,Aiden,73,231,So,Scrambling,2.0
3.5,Kansas State,2018,6,36,Hector,3,3.00,"
",QB,Hsu,73,210,(Sr),Pocket
3.5,3.5,Toledo,2018,1,QB, - 14,0, - 4.67,"
",Ahmed,Jarvis,71,223,(Fr)
Pocket,2.0,4.5,Wisconsin,2018,"
",13,41,1,3.15,QB,Brian,Jennings,73,208
(So),Scrambling,3.5,3.5,Memphis,4.30,12,61,262,1,"
",QB,David,Kaplan,73
189,(Sr),Pocket,4.5,4.5,0,2018,1,5, - 29, - 5.80,"
",QB,Nico,Kaufman
73,236,(So),Scrambling,3.5,391,Air Force,2018,11,73,2,5.36,"
",QB,Richard
Kerr,73,193,Sr,Scrambling,47,1.5,FIU,2018,11,151,0,3.21,"
",QB
Jacory,Kessler,75,224,Jr,11,5.0,5.0,Auburn,2018,73,448,3,6.14,"
"
QB,Joel,King,73,220,2018,Pocket,5.0,5.0,Houston,1,2,4,1,2.00
"
",QB,Marquise,Laws,76,Ole Miss,So,Scrambling,3.5,4.5,2018,12,65,342,2
5.26,"
",QB,Caleb,Leggett,4.0,219,(Fr),Scrambling,3.5,Army,2018,10,59,306
5,5.19,"
",QB,Alex,5.0,73,205,(Sr),Pocket,5.0,Boston College,2018,1,4
2,1,0.50,"
",QB,Scrambling,Love,74,195,So,2.0,3.0,Utah State,2018,7
28,121,2,4.32,"
",So,Bobby,McClellan,74,188,Scrambling,2.0,3.0,Ball State,2018
2,10,36,0,3.60,232,QB,Julius,McIntosh,72,Jr,Scrambling,4.5,5.0,Washington
2018,12,75,416,4,72,"
",QB,Ahmed,Miles,217,Jr,Scrambling,3.0,4.0
Navy,2018,10,59,275,Milner,4.66,"
",QB,Elias,74,238,Jr,Scrambling,3.0
3.0,Wake Forest,2018,12,55,James,1,2.22,"
",QB,Mitchell,72,214,(Sr),Scrambling
3.5,3.5,UCF,2018,10,QB,316,1,5.75,"
",Demetrius,Morris,74,198,(Sr)
