 Position 
ATH,Jackson,Gibson,76,240,2018,Run Blocking,3.0,5.0,Auburn,7,22,350,5,15.91
"
",ATH,Marquise,Reed,73,Clemson,So,Man Coverage,3.5,5.0,2018,9,32,557,4
17.41,"
",ATH,Darius,Waters,5.0,202,Fr,Pass Blocking,2.0,UCLA,2018,9,30,609
5,20.30,"
",CB,Shaun,3.0,74,175,(Sr),Zone Coverage,3.0,Texas Tech,2018,2,2
12,2,6.00,"
",FB,Power,Arevalo,72,218,Sr,3.0,3.0,Vanderbilt,2018,1
1,4,1,4.00,"
",So,Oscar,Barnard,72,253,Speed,1.5,2.5,NC State,2018
1,1,19,0,19.00,209,FB,Ian,Browne - Gant,70,So,Speed,3.0,4.0,North Texas
2018,2,3,28,1,70,"
",FB,Julius,Gaston,210,So,Speed,3.0,4.5
LSU,2018,2,2,20,Hernandez,10.00,"
",FB,John,74,254,(Jr),Power,3.5
4.5,Kentucky,2018,1,2,Ibrahim,1,4.50,"
",FB,High,69,208,Sr,Power
5.0,5.0,Air Force,2018,1,FB,42,1,42.00,"
",Ernest,Justice,71,192,Sr
Speed,3.5,3.5,Arizona State,2018,"
",4,60,1,15.00,FB,John,Landry,76,207
(Sr),Power,3.5,3.5,Virginia,25.00,1,1,25,0,"
",FB,Ricky,Lewis,71
208,(Jr),Power,4.0,4.0,1,2018,1,2,29,14.50,"
",FB,Fredrick,Marshall
74,174,(Jr),Speed,5.0,17,TCU,2018,1,2,1,8.50,"
",FB,Kevin
Naquin,71,180,Sr,Speed,2,3.0,UCLA,2018,1,16,1,8.00,"
",FB
Steven,Phillips,71,212,(Sr),1,2.5,3.5,Indiana,2018,2,18,1,9.00,"
"
FB,Noah,Pool,68,245,2018,Speed,2.0,3.0,Texas,2,4,30,2,7.50
"
",FB,Ryan,Roach,68,TCU,Jr,Speed,4.0,4.5,2018,1,2,27,0
13.50,"
",FB,Jose,Schmidt,4.0,212,(Jr),Speed,4.0,California,2018,2,4,41
0,10.25,"
",FB,Kamari,1.0,72,247,Fr,Power,5.0,San Jose State,2018,1,4
35,1,8.75,"
",FB,Speed,Tuimaleali'lfano,68,208,Fr,3.0,5.0,Alabama,2018,2
2,12,2,6.00,"
",Jr,Erik,Wendt,69,230,Power,3.5,3.5,SMU,2018
1,1,5,1,5.00,218,FS,Isaiah,Nixon,73,(Fr),Zone Coverage,2.5,4.5,Georgia
2018,5,19,218,2,75,"
",QB,Tucker,Dowden,211,(Fr),Scrambling,2.0,5.0
Missouri,2018,1,2,31,Nelson,15.50,"
",QB,Joe,74,197,(Jr),Scrambling,3.0
3.0,Illinois,2018,1,1,Samuel,1,28.00,"
",QB,Raymond,73,225,(Fr),Scrambling
2.5,3.0,Oklahoma State,2018,1,RB,35,1,35.00,"
",William,Banks,69,178,(Jr)
Speed,3.0,3.0,Bowling Green,2018,"
",5,80,1,16.00,RB,DeAndre,Barbour,72,206
Jr,Power,3.0,3.5,Arkansas,11.38,4,16,182,4,"
",RB,Justin,Barksdale,71
188,So,Speed,1.5,4.0,1,2018,1,2,23,11.50,"
",RB,Patrick,Baxter
70,198,(Jr),Speed,3.5,28,Wisconsin,2018,1,2,0,14.00,"
",RB,Chris
Bell,75,198,(Sr),Speed,5,5.0,Navy,2018,2,91,2,18.20,"
",RB
Sean,Bell,73,209,Jr,1,4.5,5.0,Baylor,2018,2,20,0,10.00,"
"
RB,Kameron,Blackman,71,214,2018,Speed,2.0,2.5,Oregon State,1,2,29,1,14.50
"
",RB,Troy,Booker,76,Texas,(Sr),Power,4.5,4.5,2018,3,9,103,4
11.44,"
",RB,Rodney,Bradley,2.5,183,(So),Power,2.0,Old Dominion,2018,1,1,1
0,1.00,"
",RB,Shamar,2.0,73,198,(Fr),Power,4.0,TCU,2018,1,2
36,1,18.00,"
",RB,Power,Butler,67,220,Jr,3.5,4.0,Texas A&M,2018,2
5,98,2,19.60,"
",Jr,Timothy,Cano,69,230,Power,4.0,4.5,Indiana,2018
3,8,101,0,12.62,192,RB,William,Carlson,71,(Jr),Speed,4.0,4.0,Illinois
2018,2,4,58,0,71,"
",RB,Stanley,Carrillo,204,(Sr),Power,3.0,3.0
Central Michigan,2018,3,6,84,Clayton,14.00,"
",RB,Jalen,68,208,(So),Power,4.0
4.0,Kansas,2018,1,3,Paul,0,20.67,"
",RB,Cleveland,70,187,(Sr),Power
3.5,3.5,North Texas,2018,1,RB,31,1,10.33,"
",Giovanni,Coley,70,227,So
Power,3.0,3.5,Syracuse,2018,"
",3,31,1,10.33,RB,Justin,Couture,70,178
(Sr),Speed,4.0,4.0,Ohio,7.75,1,4,31,0,"
",RB,Nikita,Crowe,71
226,(So),Power,3.0,4.5,1,2018,1,2,23,11.50,"
",RB,Ben,Curry
71,193,(Sr),Speed,4.0,79,Boston College,2018,2,5,2,15.80,"
",RB,Jaeden
Daniel,68,195,(So),Speed,3,3.5,Pittsburgh,2018,1,37,1,12.33,"
",RB
Dean,DeLong,75,211,(Sr),2,4.0,4.0,USC,2018,7,92,2,13.14,"
"
RB,Brendan,Devine,66,196,2018,Power,2.5,3.5,Indiana,7,16,212,3,13.25
"
",RB,Robbie,Duffy,71,Minnesota,Fr,Speed,2.5,3.5,2018,1,3,35,1
11.67,"
",RB,Jaz,Durant,4.5,195,(Jr),Speed,4.5,Auburn,2018,2,6,92
2,15.33,"
",RB,Bas Van,4.5,75,222,(Sr),Speed,4.5,Hawaii,2018,1,3
65,1,21.67,"
",RB,Speed,Egloff,72,207,(Sr),4.5,4.5,Oklahoma,2018,2
4,77,1,19.25,"
",(Sr),Edwin,Forster,75,221,Power,4.5,4.5,Michigan,2018
1,2,19,1,9.50,190,RB,Will,Fuller,70,Sr,Speed,5.0,5.0,Mississippi State
2018,1,3,29,1,73,"
",RB,Moussa,Goode,198,Jr,Speed,4.5,5.0
Ohio State,2018,1,4,41,Gordon,10.25,"
",RB,Sincere,72,212,(So),Power,2.5
3.5,Rutgers,2018,4,15,Evan,3,10.53,"
",RB,Grant,72,194,Fr,Power
2.0,5.0,Georgia State,2018,2,RB,71,1,14.20,"
",William,Gray,71,185,Sr
Power,2.0,2.0,Kent State,2018,"
",3,9,1,3.00,RB,Will,Hammond,68,201
Sr,Power,4.5,4.5,Tulsa,12.00,1,4,48,1,"
",RB,Elijah,Harden,68
187,Jr,Speed,4.0,5.0,1,2018,1,2,29,14.50,"
",RB,Mamadou,Heard
69,211,Sr,Power,4.5,36,Maryland,2018,1,4,0,9.00,"
",RB,Julian
Holcomb,69,175,(Fr),Speed,7,3.5,Northern Illinois,2018,3,82,1,11.71,"
",RB
Norris,Horton,69,173,Sr,1,4.5,4.5,Ball State,2018,2,27,0,13.50,"
"
RB,Jayden,Huff,67,213,2018,Speed,3.0,4.5,LSU,3,9,106,3,11.78
"
",RB,Alfonso,Jones,69,Louisiana Tech,Jr,Speed,2.5,3.5,2018,1,3,41,1
13.67,"
",RB,Trainer,Joyce,4.0,221,(Sr),Speed,4.0,Houston,2018,6,18,251
5,13.94,"
",RB,Jeffrey,3.0,70,203,(Jr),Power,3.5,Colorado State,2018,2,5
79,2,15.80,"
",RB,Power,Keil,73,201,(Fr),2.0,4.5,Notre Dame,2018,2
3,46,2,15.33,"
",Jr,Earl,King,73,197,Power,1.5,2.0,Middle Tennessee,2018
1,3,29,1,9.67,202,RB,Eddie,Kirkland,68,(Fr),Power,2.0,3.5,Miami (FL)
2018,2,4,41,2,71,"
",RB,Austin,Laws,178,(Fr),Speed,2.0,4.0
Ball State,2018,1,3,36,Lopez,12.00,"
",RB,Willie,71,199,(Jr),Speed,3.5
4.0,Virginia Tech,2018,2,4,Reginald,2,9.50,"
",RB,Mallory,73,195,(So),Power
3.5,3.5,Texas Tech,2018,5,RB,166,5,11.86,"
",Randy,Martin,68,200,(Jr)
Speed,4.0,4.0,Michigan State,2018,"
",9,128,3,14.22,RB,Orlando,Mckay,70,172
(Jr),Power,2.5,3.5,San Jose State,9.50,1,4,38,0,"
",RB,Marshawn,Miller,73
225,(Fr),Speed,4.0,5.0,0,2018,1,2,19,9.50,"
",RB,Jonah,Mobley
67,188,Fr,Speed,3.0,48,Arizona,2018,1,3,0,16.00,"
",RB,Kevin
Muse,68,193,Jr,Power,2,5.0,SMU,2018,1,18,1,9.00,"
",RB
Ethan,Newby,69,205,(Fr),3,2.5,4.0,Florida,2018,8,94,3,11.75,"
"
RB,Jeremiah,Newton,72,174,2018,Speed,4.0,4.5,Iowa,3,8,120,3,15.00
"
",RB,Kieran,O'Connell,73,Cincinnati,So,Power,3.0,3.0,2018,1,2,30,1
15.00,"
",RB,Arturo,Pacheco,5.0,194,(Jr),Speed,4.5,Iowa State,2018,1,2,31
1,15.50,"
",RB,Isaiah,3.0,72,192,(So),Speed,4.0,North Carolina,2018,1,2
23,0,11.50,"
",RB,Speed,Pennington,73,185,Sr,3.5,3.5,New Mexico,2018,4
10,181,3,18.10,"
",(Jr),Charles,Perkins,67,201,Power,4.0,4.0,Washington,2018
