 Position , Forename , Surname , Height , Weight , Year , Potential , Team , Games , Tackles , INTs , Sacks , FF , FR , Blocks , TDs ," Safeties
"
OLB,Charley,Graham,5 - 11,224,2,76,SD,1,5,0,0.5,0,0,0,0,"0
"
CB,Kadeem,Martin,5 - 9,175,2,82,CLE,3,15,2,0,0,0,0,0,"0
"
FS,Jake,Pugh,5 - 11,193,1,71,JAX,3,13,1,0,0,0,0,0,"0
"
CB,Todd,Janik,5 - 11,183,3,58,ATL,1,7,0,0,0,0,0,0,"0
"
SS,Danny,Steele,6 - 1,196,2,71,STL,2,9,1,0,0,0,0,0,"0
"
ILB,Jim,Bendross,6 - 1,244,4,89,STL,10,68,1,0,0,1,0,1,"0
"
CB,Stephen,Mitchell - Morrison,6 - 1,203,R,75,NYG,2,5,2,0,0,0,0,0,"0
"
CB,Jesse,Solano,5 - 11,176,1,69,CLE,1,0,1,0,0,0,0,0,"0
"
CB,Antonio,Powers,5 - 11,158,3,72,ARI,3,21,0,0,0,0,0,0,"0
"
OLB,Todd,Barry,6 - 2,221,1,69,CLE,1,6,0,0,0,0,0,0,"0
"
SS,Raymond,Ponce,6 - 1,196,3,78,KC,1,2,1,0,0,0,0,0,"0
"
DE,Joey,Green,6 - 1,260,R,77,IND,2,7,0,2,1,0,0,0,"1
"
FS,Jon,Thomas,6 - 0,197,R,75,CAR,2,12,0,0,0,0,0,0,"0
"
CB,Henri,Muhammad,5 - 10,186,4,78,WAS,3,11,2,0,0,0,0,0,"0
"
CB,Dave,Stokley,6 - 2,199,3,87,GB,7,32,5,0,0,0,0,0,"0
"
ILB,Dewey,Tomlinson,5 - 11,220,1,81,KC,5,32,0,0,0,0,0,0,"0
"
ILB,Frank,Lee,6 - 1,227,4,82,BAL,3,18,0,0,0,0,0,0,"0
"
CB,Shawn,Tennell,6 - 1,179,4,81,IND,4,15,2,0,0,1,0,1,"0
"
CB,Travis,Chatman,5 - 10,172,4,90,DAL,4,14,5,0,0,0,0,3,"0
"
OLB,Billy,Westbrook,6 - 0,228,3,79,KC,2,7,0,1,0,0,0,0,"0
"
DT,Forest,Williams,6 - 2,273,R,77,SF,4,17,0,2.5,0,0,0,0,"0
"
DE,Joe,Lewis,6 - 1,295,2,76,ARI,9,42,0,4,0,1,0,0,"0
"
OLB,Damione,Ellis,6 - 2,249,4,85,GB,1,6,0,0,0,0,0,0,"0
"
CB,Keith,Wells,6 - 2,177,2,86,STL,1,3,1,0,0,0,0,0,"0
"
CB,Jim,Milloy,6 - 1,173,3,83,PHI,4,20,1,0,0,0,0,0,"0
"
ILB,Tunch,Richardson,5 - 11,217,1,85,SD,11,86,1,0,0,0,0,0,"0
"
OLB,Austin,Olson,5 - 11,234,R,82,NO,8,50,1,4,0,0,0,0,"0
"
ILB,Jamie,Zuman,6 - 3,223,R,74,PIT,1,7,0,0,0,0,0,0,"0
"
CB,Lynn,Perry,6 - 3,187,1,78,BAL,2,2,2,0,0,0,0,0,"0
"
