 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Attempts , Missed , FG PCT , +0 , +20 , +30 , +40 ," +50
"
K,Mark,Kirschbaum,5 - 9,199,R,75,OAK,3,0,100,0,0,1,2,"0
"
K,Logan,Layton,5 - 7,152,R,80,CIN,23,4,82.61,1,5,5,7,"1
"
K,Lloyd,Williams,6 - 2,183,3,75,CLE,17,3,82.35,0,3,5,6,"0
"
K,Skip,Gibson,6 - 0,178,2,90,NO,14,0,100,0,0,5,8,"1
"
K,Chris,Hoag,6 - 2,184,1,84,NYJ,20,2,90,0,3,6,8,"1
"
K,Dana,Currier,5 - 9,208,R,78,BUF,18,3,83.33,1,3,5,6,"0
"
K,Ronald,Daniel,5 - 8,184,1,82,HOU,15,1,93.33,0,4,3,6,"1
"
K,Eric,Anderson,5 - 8,193,1,70,IND,25,4,84,0,9,10,2,"0
"
K,Wilson,Mitchell,6 - 1,196,1,68,PHI,19,5,73.68,0,4,6,4,"0
"
K,Stephen,Morris,5 - 9,211,4,76,CHI,24,1,95.83,0,7,8,8,"0
"
K,Brad,Weathersby,6 - 2,204,3,90,NE,18,0,100,0,2,7,5,"4
"
K,Gino,Chiaverini,6 - 3,206,1,86,ATL,18,1,94.44,0,5,4,8,"0
"
K,Willie,Gaffney,6 - 1,183,1,81,CAR,14,1,92.86,2,4,3,4,"0
"
K,Dennis,Scott,6 - 1,206,1,87,BAL,21,2,90.48,0,5,7,7,"0
"
K,Michael,Turner,5 - 10,187,3,81,PIT,15,1,93.33,0,3,3,8,"0
"
K,Carlos,Cruz,6 - 2,197,R,77,DAL,22,1,95.45,0,4,7,7,"3
"
K,Nathan,Vazquez,5 - 9,168,2,76,OAK,24,4,83.33,0,4,5,9,"2
"
K,Cliff,Chamblin,6 - 4,191,3,93,STL,21,2,90.48,1,3,4,10,"1
"
P,John,Maslowski,5 - 8,203,2,89,NYJ,6,3,50,0,2,1,0,"0
"
K,Cecil,Jones,6 - 1,213,4,77,NYG,4,0,100,0,1,2,1,"0
"
K,Lew,Roberg,6 - 0,177,2,76,JAX,8,3,62.5,0,1,2,2,"0
"
K,Leon,Woodruff,5 - 8,169,1,80,TEN,18,2,88.89,0,4,5,6,"1
"
K,Brian,Evans,5 - 9,175,1,85,GB,19,2,89.47,0,5,5,6,"1
"
K,Daryl,Holmes,5 - 9,192,2,85,KC,16,2,87.5,1,4,6,3,"0
"
K,Ryan,Levcik,5 - 9,177,2,89,MIN,21,1,95.24,0,3,6,9,"2
"
K,Darryl,Lemus,5 - 10,181,1,79,ARI,8,1,87.5,0,2,5,0,"0
"
P,John,Todd,6 - 4,170,R,73,NO,3,3,0,0,0,0,0,"0
"
K,Sam,Sarahi,6 - 1,203,R,83,DEN,20,1,95,0,2,3,13,"1
"
K,Jarret,Veals,5 - 10,178,3,94,TB,32,0,100,0,6,8,16,"2
"
K,Brent,Hankton,6 - 4,215,3,90,DET,27,3,88.89,3,4,8,9,"0
"
K,Ben,Morrison,6 - 1,205,4,96,MIA,29,2,93.1,0,2,15,5,"5
"
K,Rafael,Davidson,5 - 11,182,R,80,SD,22,1,95.45,0,3,8,8,"2
"
K,Paul,McGowan,5 - 10,189,3,75,SF,26,1,96.15,3,3,11,8,"0
"
K,Stanley,Brewster,6 - 1,204,1,84,NYG,14,1,92.86,0,4,3,6,"0
"
K,Bryan,Ray,5 - 9,178,1,74,WAS,23,2,91.3,0,5,7,7,"2
"
K,Patrick,O'Neil,6 - 1,201,2,72,SEA,27,7,74.07,1,6,8,5,"0
"
