 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Kick-off TDs ," Punt TDs
"
WR,Jesse,Scott,5 - 11,179,R,67,NYJ,0,"1
"
WR,Christopher,Johnson,6 - 1,173,2,79,PHI,1,"0
"
CB,Keyshawn,Thompson,6 - 2,181,3,96,DET,0,"1
"
CB,Ivory,Hull,6 - 2,173,R,81,CHI,1,"0
"
RB,Tom,Simonton,6 - 0,209,1,71,CAR,0,"1
"
WR,David,Wells,6 - 5,187,2,86,BAL,0,"1
"
CB,Bashir,Rodriguez,6 - 1,194,3,90,SF,0,"1
"
RB,Marvin,Washington,5 - 8,178,R,75,NYJ,0,"1
"
WR,Brandon,Burks,6 - 5,178,3,73,SD,0,"1
"
WR,Sean,Jenkins,6 - 6,182,1,86,NO,1,"1
"
WR,Peter,Foster,6 - 1,174,1,75,CHI,0,"2
"
WR,M.L.,Kriewaldt,5 - 8,170,3,84,DAL,2,"2
"
WR,Tommy,Furrey,6 - 6,178,4,84,TEN,0,"1
"
WR,Rod,Woodley,6 - 2,199,4,72,NYJ,0,"1
"
WR,Adrian,Allen,6 - 4,183,1,81,WAS,0,"2
"
