 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Attempts , Yards , TDs , Fumbles , 100yd Games , YPC ," YPG
"
RB,Buzz,Etcheverry,5 - 10,182,1,80,HOU,1,23,89,1,1,0,3.87,"89
"
QB,Darren,Werner,6 - 1,206,4,85,DEN,1,2,4,1,0,0,2,"4
"
QB,Brian,Vardell,6 - 2,200,4,97,MIN,1,5, - 26,0,1,0, - 5.2," - 26
"
QB,Rob,Green,6 - 2,175,R,70,CLE,1,6, - 29,0,0,0, - 4.83," - 29
"
QB,Dick,Cook,6 - 2,205,1,83,NYG,1,5,19,0,0,0,3.8,"19
"
RB,Walter,Harris,5 - 11,168,R,68,CLE,1,23,59,0,0,0,2.57,"59
"
RB,Frederick,Chacon,6 - 0,172,R,76,STL,11,181,822,11,0,1,4.54,"74.73
"
RB,Will,Craven,6 - 1,177,1,70,TB,7,124,453,3,0,1,3.65,"64.71
"
RB,Eddie,Anderson,5 - 10,173,1,76,NYJ,1,11,15,0,0,0,1.36,"15
"
RB,Greg,Allen,5 - 10,206,R,70,BAL,1,22,65,1,0,0,2.95,"65
"
RB,Ed,Latta,5 - 9,188,3,81,PHI,1,3,11,0,0,0,3.67,"11
"
RB,Keith,Dunn,5 - 11,179,3,80,MIA,3,58,224,3,0,0,3.86,"74.67
"
RB,Lavontae,Jackson,5 - 10,234,R,77,OAK,2,21,75,1,0,0,3.57,"37.5
"
QB,Paul,Davenport,6 - 0,198,R,80,PIT,2,11,54,1,0,0,4.91,"27
"
QB,Orly,Vaccaro,6 - 2,215,R,74,SF,1,8,50,2,0,0,6.25,"50
"
RB,Jerry,Rambo,5 - 10,220,2,86,DEN,14,298,1234,11,0,3,4.14,"88.14
"
QB,Gary,Baldacci,5 - 11,183,3,79,SF,1,3, - 5,0,1,0, - 1.67," - 5
"
RB,John,Harris,5 - 11,181,1,80,TEN,8,165,663,9,0,2,4.02,"82.88
"
RB,Ben,Offerdahl,5 - 11,189,R,79,KC,2,33,92,2,1,0,2.79,"46
"
FB,Donald,Johns,5 - 11,239,R,75,ARI,1,3,7,1,0,0,2.33,"7
"
RB,Quincy,Turner,6 - 1,200,3,83,CHI,16,333,1522,12,1,6,4.57,"95.13
"
QB,Onterrio,Smith,6 - 1,180,4,84,PIT,2,20,29,0,1,0,1.45,"14.5
"
RB,Jeff,Collett,5 - 11,193,1,77,WAS,13,250,1051,9,1,1,4.2,"80.85
"
RB,Paul,Gibbs,5 - 9,189,1,75,NO,2,20,40,0,1,0,2,"20
"
RB,Lynn,Bartkowski,6 - 0,192,2,79,GB,1,19,63,0,0,0,3.32,"63
"
QB,Thomas,Wheeler,6 - 1,208,3,90,KC,1,1,1,1,0,0,1,"1
"
RB,Ike,Nimmo,5 - 9,219,1,77,JAX,11,195,620,4,1,1,3.18,"56.36
"
FB,Lorenzo,Makovicka,5 - 8,211,2,74,DET,1,3,5,1,0,0,1.67,"5
"
QB,Allan,Taylor,6 - 0,202,4,97,JAX,12,71,460,5,0,0,6.48,"38.33
"
RB,Don,Williams,5 - 10,226,4,87,CLE,12,277,1182,8,1,6,4.27,"98.5
"
RB,Vernon,Haggan,5 - 11,191,R,75,NYG,3,53,195,3,2,0,3.68,"65
"
RB,Nick,Engelberger,5 - 8,186,1,75,PIT,12,289,1284,13,1,7,4.44,"107
"
RB,Sterling,Brown,6 - 0,174,2,88,NYG,9,160,782,9,1,3,4.89,"86.89
"
RB,Russ,Martin,6 - 0,215,3,79,BUF,2,26,86,0,1,0,3.31,"43
"
RB,Troy,White,5 - 11,200,R,79,PHI,16,378,1575,10,2,10,4.17,"98.44
"
RB,Marcus,Barry,6 - 0,193,2,89,MIA,13,272,1299,15,1,6,4.78,"99.92
"
QB,Darrell,Murphy,6 - 2,215,4,96,STL,1,3, - 21,0,1,0, - 7," - 21
"
RB,Brian,Houghton,5 - 7,190,2,75,SF,1,5,31,0,0,0,6.2,"31
"
QB,Aaron,Shea,6 - 2,204,R,83,IND,1,3,1,0,1,0,0.33,"1
"
RB,Donald,Dingle,6 - 0,207,R,71,PIT,1,6,10,0,0,0,1.67,"10
"
RB,Chad,Dess,6 - 1,241,3,92,BUF,15,351,1534,11,1,12,4.37,"102.27
"
RB,Troy,McCray,6 - 0,205,R,80,SF,16,346,1672,15,0,7,4.83,"104.5
"
RB,Gil,Novacek,5 - 11,188,R,77,GB,15,298,1279,9,0,5,4.29,"85.27
"
QB,Lawyer,Johnson,6 - 0,194,1,82,NE,3,11,13,2,2,0,1.18,"4.33
"
QB,Taylor,Heiden,6 - 3,197,2,86,TB,13,71,566,4,1,0,7.97,"43.54
"
RB,Shaun,Evans,5 - 8,191,3,80,NE,2,39,154,2,0,0,3.95,"77
"
QB,Les,Henderson,6 - 4,193,R,75,PIT,1,3, - 4,0,0,0, - 1.33," - 4
"
RB,Michael,Duckworth,5 - 7,179,2,83,SEA,7,92,450,5,0,1,4.89,"64.29
"
RB,Keena,Kane,5 - 9,180,3,80,GB,5,108,406,6,0,0,3.76,"81.2
"
RB,Rickie,Baird,5 - 11,171,2,81,HOU,12,189,793,10,1,1,4.2,"66.08
"
RB,Rasheed,Kent,6 - 1,205,2,80,MIN,13,208,866,7,1,1,4.16,"66.62
"
RB,Shawn,Carr,6 - 0,177,4,82,ARI,13,206,838,4,1,1,4.07,"64.46
"
RB,Emmett,Spears,5 - 10,195,R,78,OAK,15,292,1235,10,0,4,4.23,"82.33
"
RB,Mike,Latta,6 - 0,209,1,85,CAR,15,323,1551,13,0,9,4.8,"103.4
"
QB,DeSean,Jenkins,6 - 4,195,R,78,CIN,3,23,194,4,1,1,8.43,"64.67
"
RB,Fred,Tindale,5 - 11,204,2,89,SEA,9,153,606,6,0,1,3.96,"67.33
"
RB,Marvin,Washington,5 - 8,178,R,75,NYJ,8,101,362,2,2,0,3.58,"45.25
"
QB,Reggie,Watkins,6 - 4,200,4,88,BAL,1,3, - 14,0,1,0, - 4.67," - 14
"
QB,Ryan,Clark,6 - 1,187,2,84,CLE,12,71,336,4,1,0,4.73,"28
"
RB,Akili,Wallace,5 - 10,180,2,94,ATL,14,287,1387,9,1,7,4.83,"99.07
"
FB,Michael,Banks,6 - 2,247,4,71,BUF,1,2,2,1,0,0,1,"2
"
QB,Nick,Hall,6 - 2,221,3,94,OAK,3,8, - 30,0,4,0, - 3.75," - 10
"
RB,Bryan,Browning,5 - 8,185,R,72,HOU,3,58,227,3,0,1,3.91,"75.67
"
RB,Rob,Blackmon,6 - 0,206,4,88,NE,12,167,757,8,2,2,4.53,"63.08
"
QB,Joaquin,Younger,6 - 5,215,R,78,BUF,8,39,150,3,2,0,3.85,"18.75
"
RB,Ron,Thomas,6 - 0,194,R,83,CIN,16,442,1995,13,3,13,4.51,"124.69
"
RB,James,Bush,6 - 1,242,4,84,PIT,3,78,262,2,1,2,3.36,"87.33
"
QB,Rob,Corp,6 - 3,203,1,75,PIT,11,59,304,6,2,0,5.15,"27.64
"
RB,Booker T.,Washington,6 - 1,208,3,87,BAL,15,331,1448,6,1,4,4.37,"96.53
"
RB,Tony,Peaks,5 - 10,239,4,87,IND,16,321,1373,16,0,4,4.28,"85.81
"
RB,O.J.,Carano,5 - 11,217,3,94,NYJ,8,162,709,4,1,3,4.38,"88.63
"
RB,Justin,Buchanan,5 - 10,184,4,80,KC,14,253,1098,13,0,3,4.34,"78.43
"
FB,Cyril,Harris,6 - 0,230,1,74,NYJ,1,3,5,1,0,0,1.67,"5
"
QB,DeAndre,Jackson,6 - 1,199,1,75,SEA,2,5,28,1,0,0,5.6,"14
"
RB,Bradie,Sapp,5 - 11,185,4,79,TEN,8,159,624,7,0,2,3.92,"78
"
RB,Pete,Choboian,6 - 0,166,R,76,CLE,4,72,290,3,0,0,4.03,"72.5
"
RB,Adrian,Robinson,5 - 11,203,R,77,DAL,2,33,175,2,0,1,5.3,"87.5
"
RB,Dick,Lilly,5 - 11,199,2,72,IND,1,6,7,0,0,0,1.17,"7
"
RB,Kevin,Richards,5 - 11,182,4,90,NO,6,95,334,2,0,1,3.52,"55.67
"
RB,Greg,Hadnot,5 - 9,192,2,82,NE,2,28,75,1,0,0,2.68,"37.5
"
FB,Marc,Ladner,6 - 0,210,1,73,PIT,1,8,2,0,0,0,0.25,"2
"
RB,James,Harris,5 - 8,198,2,76,BAL,1,1,5,0,0,0,5,"5
"
QB,Byron,Harper,6 - 3,225,R,77,JAX,2,13,80,0,0,0,6.15,"40
"
RB,John,Adams,5 - 11,171,R,74,JAX,5,130,490,6,0,2,3.77,"98
"
FB,Tom,Edwards,5 - 11,211,2,85,CIN,4,10,19,4,0,0,1.9,"4.75
"
RB,Shawn,Cole,5 - 9,188,3,89,SD,15,351,1539,8,2,10,4.38,"102.6
"
RB,Drew,Pierce,5 - 8,193,3,72,NO,8,51,175,1,1,0,3.43,"21.88
"
RB,Bradley,Cooley,5 - 11,198,R,76,ATL,3,47,175,1,0,1,3.72,"58.33
"
QB,Todd,Lester,6 - 0,194,2,88,SF,13,78,409,9,2,0,5.24,"31.46
"
RB,Vaughan,Abraham,5 - 10,201,4,97,DAL,15,367,1834,13,0,15,5,"122.27
"
QB,Alexander,Williams,6 - 0,187,4,91,SEA,14,79,427,4,0,0,5.41,"30.5
"
QB,Rob,LeCount,6 - 3,212,3,86,DET,2,6, - 11,1,1,0, - 1.83," - 5.5
"
RB,Kenneth,Farr,5 - 8,183,1,76,SEA,2,19,52,2,0,0,2.74,"26
"
RB,Clayton,Gorman,5 - 9,192,1,74,SD,1,15,35,1,0,0,2.33,"35
"
QB,Jason,Johnson,5 - 11,190,4,93,GB,1,3, - 19,0,1,0, - 6.33," - 19
"
FB,Alex,Engram,6 - 1,252,3,81,MIA,1,3,3,1,0,0,1,"3
"
QB,Alex,Bridgewater,6 - 0,182,3,85,TB,1,6,30,0,0,0,5,"30
"
RB,Chester,Henson,5 - 11,226,4,99,MIN,5,94,430,4,0,3,4.57,"86
"
RB,John,McMurtry,5 - 11,212,3,77,DEN,2,38,146,2,0,0,3.84,"73
"
FB,Bruce,Wilson,6 - 1,221,R,67,PHI,2,6,11,2,0,0,1.83,"5.5
"
RB,Chester,Dorenbos,6 - 0,222,1,81,WAS,5,83,288,3,2,0,3.47,"57.6
"
RB,Shawn,Anderson,5 - 8,184,1,82,STL,7,85,328,3,1,0,3.86,"46.86
"
RB,James,Otero,5 - 8,191,3,89,TB,10,213,1101,9,0,7,5.17,"110.1
"
RB,Larry,Holleyman,5 - 11,187,R,78,CAR,1,25,66,1,1,0,2.64,"66
"
QB,Jarius,Jones,6 - 1,205,1,88,ARI,1,2, - 5,0,0,0, - 2.5," - 5
"
RB,Joseph,Bowen,5 - 9,185,1,82,ARI,5,65,156,0,0,0,2.4,"31.2
"
RB,Elvis,Williams,5 - 11,181,4,89,DET,16,310,1471,13,2,9,4.75,"91.94
"
QB,Jasen,Broadnax,6 - 0,196,2,74,ATL,1,3, - 16,0,0,0, - 5.33," - 16
"
