 Position , Forename , Surname , Height , Weight , Year , Skill , Team , Games , Catches , Yards , TDs , Fumbles , YPC ," YPG
"
RB,Larry,Holleyman,5 - 11,187,R,78,CAR,2,4,68,1,0,17,"34
"
TE,Tony,DeMarco,6 - 3,247,2,83,CIN,7,11,148,5,0,13.45,"21.14
"
WR,Austin,Medina,5 - 11,192,3,85,PIT,13,47,687,3,0,14.62,"52.85
"
WR,David,Wells,6 - 5,187,2,86,BAL,14,78,1114,8,0,14.28,"79.57
"
RB,Justin,Buchanan,5 - 10,184,4,80,KC,5,14,150,4,0,10.71,"30
"
TE,Ben,Thomas,6 - 6,224,2,86,SF,7,21,295,4,0,14.05,"42.14
"
WR,Michael,Hawkins,5 - 9,196,1,83,PHI,16,75,1133,7,0,15.11,"70.81
"
TE,Tony,Huff,6 - 4,225,1,83,SEA,11,52,589,6,0,11.33,"53.55
"
WR,Robert,Shipp,5 - 10,168,3,70,ATL,2,5,53,1,0,10.6,"26.5
"
TE,Hugh,Warren,6 - 6,229,2,78,SF,2,5,58,1,0,11.6,"29
"
RB,Chester,Dorenbos,6 - 0,222,1,81,WAS,2,3,36,1,0,12,"18
"
RB,O.J.,Carano,5 - 11,217,3,94,NYJ,4,11,217,4,0,19.73,"54.25
"
WR,Ray Lee,Marconi,6 - 5,180,4,82,CLE,12,51,727,5,0,14.25,"60.58
"
TE,Ituha,Coonaha,6 - 6,200,R,75,BAL,3,8,116,3,0,14.5,"38.67
"
WR,Chip,Johnson,6 - 3,188,R,74,CAR,3,14,155,3,0,11.07,"51.67
"
WR,John,Gross,6 - 6,185,2,78,GB,8,37,477,3,0,12.89,"59.63
"
WR,Christopher,Johnson,6 - 1,173,2,79,PHI,8,21,269,2,0,12.81,"33.63
"
WR,Eric,Garner,6 - 1,170,R,69,SD,1,1,24,0,0,24,"24
"
WR,Rodney,Montgomery,6 - 0,185,3,93,MIA,13,72,1106,3,0,15.36,"85.08
"
WR,Tom,Grant,6 - 0,172,4,85,NE,13,96,1235,8,0,12.86,"95
"
WR,Vaughn,Gash,6 - 3,183,4,83,HOU,5,27,386,4,0,14.3,"77.2
"
WR,Willie,Hodge,6 - 5,194,3,78,OAK,2,5,55,1,0,11,"27.5
"
WR,Jamal,Brunell,6 - 4,171,R,82,CIN,14,37,571,3,0,15.43,"40.79
"
RB,Eddie,Anderson,5 - 10,173,1,76,NYJ,1,1,10,1,0,10,"10
"
WR,Margene,Huard,6 - 6,169,R,68,TEN,3,7,106,0,0,15.14,"35.33
"
WR,Lance,Bolling,6 - 4,164,1,72,CLE,10,30,424,1,0,14.13,"42.4
"
TE,Vaughn,St. Clair,6 - 2,233,3,80,TEN,5,28,307,7,0,10.96,"61.4
"
WR,Sean,Jenkins,6 - 6,182,1,86,NO,14,117,1340,11,0,11.45,"95.71
"
WR,Sonny,Beckett,6 - 6,188,1,82,MIN,13,89,1035,6,0,11.63,"79.62
"
WR,Marcus,Banks,5 - 11,201,2,88,ARI,14,114,1440,7,0,12.63,"102.86
"
WR,Richard,Wilson,6 - 5,173,3,85,TB,16,93,1327,3,0,14.27,"82.94
"
WR,David,Gaines,6 - 2,190,4,88,CHI,15,87,1235,8,0,14.2,"82.33
"
WR,Gary,Faneca,6 - 5,189,4,96,DET,16,90,1263,5,0,14.03,"78.94
"
TE,Cap,Mitchell,6 - 2,222,1,74,DET,3,9,99,4,0,11,"33
"
RB,Troy,White,5 - 11,200,R,79,PHI,2,6,165,2,0,27.5,"82.5
"
TE,Nathan,Taylor,6 - 3,232,2,79,WAS,2,4,55,1,0,13.75,"27.5
"
FB,James,Baum,6 - 1,215,2,75,WAS,1,1,5,1,0,5,"5
"
WR,Brandon,Burks,6 - 5,178,3,73,SD,2,10,137,2,0,13.7,"68.5
"
TE,Obafemi,Chamberlin,6 - 6,243,4,78,CHI,7,23,298,5,0,12.96,"42.57
"
WR,Dennis,Hahn,6 - 0,187,1,64,CHI,1,2,19,1,0,9.5,"19
"
WR,Andrew,Williamson,6 - 3,204,R,70,STL,1,2,26,1,0,13,"26
"
TE,Lawrence,Gibson,6 - 3,239,1,76,PIT,1,1,4,1,0,4,"4
"
RB,Shawn,Anderson,5 - 8,184,1,82,STL,1,4,55,1,0,13.75,"55
"
WR,Reggie,Sayers,5 - 11,205,R,68,DET,1,1,5,1,0,5,"5
"
TE,Jason,McClairen,6 - 4,220,R,80,CLE,6,19,223,2,0,11.74,"37.17
"
WR,Glenn,Franckowiak,6 - 0,201,2,83,BUF,10,36,490,3,0,13.61,"49
"
WR,Curtis,Jeffreys,5 - 11,207,R,70,CLE,3,5,90,2,0,18,"30
"
WR,Eric,Minter,6 - 4,187,3,77,MIN,11,54,700,4,0,12.96,"63.64
"
RB,Shawn,Carr,6 - 0,177,4,82,ARI,4,11,141,4,0,12.82,"35.25
"
RB,Frederick,Chacon,6 - 0,172,R,76,STL,1,3,23,1,0,7.67,"23
"
TE,Jesse,Palmer,6 - 8,245,R,71,DEN,2,2,13,2,0,6.5,"6.5
"
WR,Charlie,Paul,5 - 9,163,2,85,NYJ,11,57,739,5,0,12.96,"67.18
"
TE,Tom,Ellis,6 - 3,265,4,79,JAX,2,5,64,0,0,12.8,"32
"
RB,Greg,Hadnot,5 - 9,192,2,82,NE,1,3,41,1,0,13.67,"41
"
